,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.9816898,0.9785294,0.22805409,0.9840251,0.9858906
1,0.981093,0.9787327,0.16496193,0.98414093,0.9859417
2,0.98167133,0.97863114,0.27339643,0.9842733,0.985956
3,0.98288167,0.9789993,0.3239386,0.9838814,0.9859954
4,0.0,0.0,0.0,0.0,0.0
5,0.9820633,0.9787179,0.14588489,0.9843543,0.98595685
6,0.98182327,0.978846,0.16890056,0.98405635,0.9859158
7,0.9812887,0.97880286,0.19868769,0.9836927,0.98591644
8,0.9817355,0.9786041,0.28995422,0.9840688,0.98582286
9,0.0,0.0,0.0,0.0,0.0
10,0.98098016,0.9785263,0.15674385,0.9834447,0.98588413
11,0.98147064,0.9787871,0.1264018,0.983167,0.98594135
12,0.9817816,0.9787766,0.136073,0.98361206,0.985963
13,0.9825538,0.9788783,0.24335925,0.984906,0.9860422
14,0.0,0.0,0.0,0.0,0.0
15,0.98154014,0.9788668,0.19472031,0.9839467,0.98609465
16,0.98130447,0.9787039,0.22646333,0.98402387,0.9859132
17,0.9819571,0.97877985,0.2209081,0.9833268,0.98589456
18,0.9812484,0.97873443,0.18003944,0.98358035,0.98581934
19,0.0,0.0,0.0,0.0,0.0
20,0.98138887,0.978711,0.20330916,0.9839921,0.98598135
21,0.98041016,0.97814494,0.24370806,0.98326665,0.98591506
22,0.98135626,0.9788671,0.25078148,0.98383784,0.9859942
23,0.98069555,0.978802,0.19415453,0.9835189,0.98602504
24,0.0,0.0,0.0,0.0,0.0
25,0.9809473,0.9789059,0.16062582,0.9841361,0.98609686
26,0.98096603,0.9785415,0.22002453,0.98434335,0.98597
27,0.980732,0.97891676,0.13744098,0.98408204,0.9859708
28,0.98059183,0.9786836,0.1514648,0.98370284,0.98582035
29,0.0,0.0,0.0,0.0,0.0
30,0.98125213,0.97888255,0.18265887,0.9842162,0.98601526
31,0.981221,0.97855055,0.15265106,0.9838483,0.98588157
32,0.98160934,0.97902155,0.123925164,0.9830256,0.9860855
33,0.98191315,0.9787054,0.13005386,0.9835766,0.9859435
34,0.0,0.0,0.0,0.0,0.0
35,0.98125607,0.9782682,0.15954329,0.9843888,0.9858894
36,0.9806892,0.9787682,0.19034506,0.9837842,0.9858806
37,0.9818731,0.9790049,0.16712287,0.984462,0.98598415
38,0.9806289,0.97855455,0.14190316,0.9840663,0.98595697
39,0.0,0.0,0.0,0.0,0.0
40,0.9819947,0.97867286,0.19004333,0.984581,0.9860398
41,0.9806108,0.9785274,0.09963535,0.98372716,0.9859938
42,0.9823702,0.97870976,0.27718723,0.9841176,0.9859112
43,0.9813067,0.9789349,0.13913189,0.98407257,0.98591393
44,0.0,0.0,0.0,0.0,0.0
45,0.98117447,0.9786455,0.15654889,0.9845632,0.98598355
46,0.98122054,0.97870183,0.15689173,0.9833665,0.9860013
47,0.9821568,0.97892094,0.12355196,0.9835695,0.98601323
48,0.9804631,0.97840345,0.123664916,0.98397607,0.9859321
49,0.0,0.0,0.0,0.0,0.0
50,0.9802951,0.97872514,0.18137106,0.9839177,0.98595273
51,0.98167783,0.9787827,0.30154556,0.984721,0.98606443
52,0.9809493,0.97883564,0.14436422,0.98359156,0.98593086
53,0.982314,0.97856504,0.33485347,0.98445195,0.98591536
54,0.0,0.0,0.0,0.0,0.0
55,0.98176837,0.9786318,0.1960307,0.9838509,0.9860393
56,0.98028004,0.9785675,0.15843387,0.98248917,0.98590636
57,0.98201114,0.9788502,0.25781056,0.9821144,0.98599255
58,0.9810137,0.9785284,0.17080344,0.98326594,0.98593116
59,0.0,0.0,0.0,0.0,0.0
60,0.9822797,0.97870815,0.23440585,0.9835683,0.9858409
61,0.980949,0.978374,0.15849654,0.9836254,0.9859112
62,0.98102266,0.97868586,0.12710981,0.9831802,0.98596567
63,0.9814918,0.9788242,0.17000978,0.9836559,0.98597294
64,0.0,0.0,0.0,0.0,0.0
65,0.98051953,0.9790025,0.12727438,0.98313046,0.9861045
66,0.9815336,0.97892755,0.16173936,0.9840791,0.9860023
67,0.9806757,0.9783245,0.11981891,0.98381186,0.9858719
68,0.98186433,0.97894454,0.14526106,0.9839477,0.9859506
69,0.0,0.0,0.0,0.0,0.0
70,0.98138154,0.97852415,0.20625247,0.9842449,0.9859893
71,0.98155844,0.9786951,0.161614,0.9842593,0.98598474
72,0.980955,0.9787381,0.2572941,0.9831933,0.985891
73,0.98133874,0.9787613,0.20855887,0.9834449,0.98584765
74,0.0,0.0,0.0,0.0,0.0
75,0.9813726,0.9789055,0.11161868,0.98440695,0.9860217
76,0.98131007,0.9785243,0.19446069,0.9836176,0.98592883
77,0.98165953,0.9787407,0.11885385,0.9840684,0.98598593
78,0.9813989,0.9788588,0.14500949,0.9840432,0.9858977
79,0.0,0.0,0.0,0.0,0.0
80,0.98063356,0.97891116,0.1665104,0.98362005,0.9859757
81,0.98075765,0.97892,0.15251671,0.9838419,0.98603296
82,0.9815868,0.978663,0.16012433,0.98380625,0.9858612
83,0.98049116,0.9785413,0.10790458,0.9840149,0.9859734
84,0.0,0.0,0.0,0.0,0.0
85,0.9809294,0.9790115,0.18277225,0.98460513,0.9861079
86,0.98296416,0.97873574,0.3482906,0.98256886,0.985852
87,0.9817961,0.9785158,0.20329048,0.9842481,0.98591197
88,0.9806553,0.9785273,0.12948176,0.98409814,0.98592025
89,0.0,0.0,0.0,0.0,0.0
90,0.9812306,0.97845984,0.15313789,0.9839668,0.9859588
91,0.9807534,0.9785075,0.11599858,0.98364633,0.9859202
92,0.9807484,0.97898805,0.113338076,0.9822533,0.9860154
93,0.9804809,0.97881407,0.14745776,0.98382527,0.9859376
94,0.0,0.0,0.0,0.0,0.0
95,0.9815637,0.9787948,0.17268515,0.98319155,0.9859271
96,0.98111075,0.97885174,0.18533179,0.9841163,0.9859581
97,0.981466,0.9786722,0.15401687,0.9841088,0.9858603
98,0.98017716,0.9786864,0.13503733,0.98448145,0.98592716
99,0.0,0.0,0.0,0.0,0.0
100,0.981286,0.9784719,0.14441727,0.983649,0.98590297
101,0.9817068,0.97870404,0.27543557,0.9839333,0.98590165
102,0.9809923,0.9790637,0.10779172,0.98371124,0.98602676
103,0.9812754,0.9786208,0.16036682,0.9836238,0.9858899
104,0.0,0.0,0.0,0.0,0.0
105,0.98189247,0.9787755,0.22826923,0.9847876,0.98596066
106,0.98204905,0.9791406,0.3578611,0.9837568,0.9859921
107,0.98149717,0.9783538,0.12146711,0.9833629,0.9858987
108,0.9816127,0.97877413,0.20178363,0.9836582,0.985951
109,0.0,0.0,0.0,0.0,0.0
110,0.98139405,0.97874945,0.21543667,0.9840607,0.98599255
111,0.9807359,0.9784053,0.17175224,0.9839008,0.98585814
112,0.98251027,0.97899115,0.33415425,0.9842723,0.9859005
113,0.98071414,0.9787157,0.13087916,0.9834326,0.9858544
114,0.0,0.0,0.0,0.0,0.0
115,0.9822426,0.9787868,0.2271341,0.98352236,0.9859388
116,0.98190415,0.97854054,0.13535863,0.9837256,0.9858851
117,0.9814992,0.978656,0.14543243,0.98437864,0.98582363
118,0.9807303,0.9785284,0.17458223,0.9837316,0.98595
119,0.0,0.0,0.0,0.0,0.0
120,0.9818117,0.9787487,0.11717425,0.9843321,0.98582727
121,0.9807059,0.9790104,0.12471379,0.98332745,0.98602647
122,0.9810722,0.97856843,0.12228145,0.98405355,0.9860092
123,0.98114747,0.9788937,0.2890854,0.9839234,0.9859766
