,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.9797203,0.9750994,0.17341779,0.9825983,0.9857686
1,0.9808936,0.9752298,0.3417039,0.9835981,0.98551774
2,0.97909343,0.97499603,0.20921557,0.98145515,0.9855438
3,0.98042434,0.9753609,0.27280298,0.98164713,0.98533946
4,0.27866566,-0.32390267,4.127841,1.5818881,-0.9479305
5,0.9792748,0.9749878,0.29044598,0.98249,0.98554915
6,0.9797146,0.97526926,0.3169167,0.98264104,0.9854953
7,0.9799165,0.97516,0.19008398,0.9830824,0.98539686
8,0.97986263,0.9752933,0.33969137,0.9825625,0.9853389
9,0.6092305,2.3617783,-1.0442044,0.6468597,0.0
10,0.9807337,0.9752261,0.38419476,0.9829096,0.9855329
11,0.9799775,0.975301,0.29441434,0.9818503,0.9854385
12,0.9794143,0.97490174,0.19936444,0.9811222,0.985172
13,0.9802357,0.9749222,0.22132947,0.98359984,0.9855477
14,0.41622388,3.9511747,1.6226462,0.3011839,0.16928694
15,0.9796019,0.97518235,0.18469746,0.9817397,0.9854492
16,0.9801521,0.9752707,0.38048795,0.9828046,0.9852265
17,0.97923154,0.97542393,0.24798518,0.98126334,0.9853218
18,0.97896314,0.9745055,0.23842858,0.9821,0.9853763
19,3.1576123,-2.7995117,1.2244449,-1.5771337,-0.3910335
20,0.9801272,0.9749977,0.25393018,0.98166555,0.9852594
21,0.9794636,0.97527504,0.24797305,0.9827681,0.9853519
22,0.9787939,0.97522116,0.19082832,0.9811729,0.98523515
23,0.98129714,0.97540087,0.53457934,0.9824771,0.9851905
24,-1.6780326,0.26878935,-4.22907,0.0049133897,-1.3223641
25,0.979374,0.9752982,0.19583026,0.9827432,0.9852331
26,0.9804433,0.97530097,0.38001946,0.9819059,0.9853065
27,0.98039013,0.9755252,0.32276952,0.9818887,0.98521477
28,0.9796571,0.97478473,0.24502051,0.98122525,0.9851781
29,0.68502724,3.2468576,-2.6270866,0.79072356,0.0
30,0.9808755,0.9754806,0.3419894,0.98129386,0.98524183
31,0.9810903,0.9756511,0.47516644,0.98232114,0.9851607
32,0.9804974,0.97513884,0.42862174,0.98192954,0.98507357
33,0.979177,0.9753024,0.1474799,0.9821188,0.9851415
34,0.050672203,5.457756,4.7441425,-0.016628679,-0.074030116
35,0.9796414,0.975471,0.21529607,0.981553,0.9851755
36,0.98019576,0.9754894,0.32264704,0.98288196,0.98525196
37,0.9790538,0.97498727,0.21167248,0.98167336,0.98507464
38,0.97999674,0.97504073,0.37712988,0.98206997,0.98495394
39,1.0940853,4.5950966,-0.1727016,2.204062,0.3910335
40,0.98042256,0.9754018,0.3383809,0.9814708,0.9851003
41,0.9801692,0.97508836,0.340512,0.98307693,0.9850898
42,0.9796922,0.9752047,0.16901477,0.982499,0.98519516
43,0.9797994,0.9752835,0.21996656,0.9814904,0.98493046
44,-0.2538074,-0.5797286,-4.08112,-0.17515574,0.15104228
45,0.9792188,0.9752678,0.23959565,0.9825939,0.98507154
46,0.98001766,0.9750885,0.19362567,0.9825229,0.98520535
47,0.9805774,0.97530675,0.48267776,0.9826541,0.98516035
48,0.97997427,0.9750984,0.19403683,0.98193246,0.9851031
49,0.7628578,-4.970502,-3.8215048,-0.7242112,0.0
50,0.97940826,0.9751164,0.25440705,0.9819758,0.98501176
51,0.9804021,0.9754953,0.27454838,0.9823634,0.9852282
52,0.9811576,0.9755708,0.40067616,0.98181295,0.98496723
53,0.9799252,0.9751573,0.27684587,0.9819964,0.98494023
54,1.298876,-1.0879407,4.7441425,-0.015993837,-2.1537738
55,0.97853255,0.97520894,0.17722002,0.9823804,0.98508704
56,0.9797753,0.97538275,0.3140411,0.9818047,0.9849509
57,0.980049,0.9752852,0.26435286,0.98266816,0.98506725
58,0.98109484,0.9754339,0.4301348,0.98283833,0.9849742
59,-2.7414477,-1.6195922,-2.2960987,3.4785342,1.3483146
60,0.9803459,0.9753697,0.1530123,0.9827435,0.9851338
61,0.9799837,0.9751128,0.33770573,0.9826487,0.9851346
62,0.97962517,0.9753211,0.26244625,0.9835644,0.9849436
63,0.97954965,0.97493535,0.28332615,0.98092735,0.98512405
64,-0.75398695,9.228263,11.089505,-11.624603,3.0060403
65,0.97970694,0.97525483,0.2787767,0.98104966,0.9848994
66,0.978817,0.97519636,0.15752421,0.9826863,0.9850699
67,0.9796854,0.9752656,0.27695352,0.98245764,0.9849918
68,0.98102885,0.97553796,0.54883975,0.9830374,0.9848108
69,-0.017660528,4.229808,0.15183005,-5.7172465,0.0
70,0.9793799,0.9754033,0.20062485,0.9822466,0.9846633
71,0.97996193,0.97523034,0.32017854,0.9822125,0.9849711
72,0.9792968,0.97512764,0.1959833,0.98221177,0.98506784
73,0.98099744,0.9754506,0.5128291,0.98223895,0.9848798
74,1.4508116,-0.9996786,-0.21088052,-2.0652595,-4.7541857
75,0.9793981,0.9751737,0.17318048,0.98188084,0.9848603
76,0.9798705,0.97524416,0.2927699,0.9827534,0.9849739
77,0.97926193,0.975199,0.2693146,0.9820536,0.98490816
78,0.9800653,0.97551167,0.282082,0.9822528,0.98483324
79,-2.361313,0.6628492,-0.5392695,-6.1598306,-1.3483146
80,0.97929204,0.9751287,0.19839202,0.98209226,0.984769
81,0.9793099,0.975184,0.2535258,0.98230416,0.98501146
82,0.9796421,0.97515833,0.27103403,0.9823182,0.9850037
83,0.9805364,0.9754423,0.44412214,0.9834021,0.9846759
84,0.27784163,3.1675506,-0.90840816,4.2908335,-1.0504849
85,0.97976494,0.97543234,0.13947955,0.98243,0.98483986
86,0.98040307,0.97547936,0.30669096,0.98190707,0.9847032
87,0.97978103,0.97531486,0.3102369,0.98239857,0.98506474
88,0.9793173,0.9753462,0.24286303,0.98111737,0.9849344
89,2.0253491,-3.0590045,-0.8061701,8.869528,0.0
90,0.97924143,0.97533023,0.23673578,0.98163563,0.98468405
91,0.98002946,0.9754848,0.38190848,0.98241687,0.98467714
92,0.98010856,0.9753738,0.28158322,0.9820034,0.9850954
93,0.98093694,0.97534966,0.37199596,0.9830698,0.98510164
94,0.5849307,4.917511,-0.21088052,-3.0157492,-1.0925697
95,0.979673,0.9754477,0.21490227,0.9820492,0.9846624
96,0.9805002,0.9754387,0.3124186,0.9825292,0.98494524
97,0.97899586,0.9748418,0.22744988,0.98168296,0.9847851
98,0.980887,0.9754548,0.40257382,0.9815885,0.9847857
99,-2.1764102,-6.2992096,0.39237565,0.5773492,-2.4458451
100,0.97959214,0.9753813,0.34267306,0.98160267,0.9846694
101,0.98069906,0.97556084,0.3483768,0.98190516,0.9849377
102,0.9802319,0.975516,0.20306885,0.9818277,0.984688
103,0.97996,0.9753941,0.2570087,0.9834414,0.98490816
104,0.6734326,1.9764533,-1.471765,0.6285766,-0.6289042
105,0.97943956,0.97542423,0.17651801,0.9824537,0.98489124
106,0.98098856,0.9753956,0.4278587,0.98260176,0.9847663
107,0.9801693,0.97533864,0.2423063,0.98118514,0.9847446
108,0.9789658,0.9749044,0.2577676,0.9819667,0.98475266
109,-0.9661708,-3.204803,0.016670011,-0.93387437,0.0
110,0.9800403,0.9754645,0.34713453,0.9829665,0.98459876
111,0.9797207,0.97548157,0.23125653,0.98145634,0.98464775
112,0.9796219,0.9750786,0.16175759,0.9822736,0.98483557
113,0.9806433,0.97525495,0.33596954,0.98132205,0.9847417
114,-1.7337377,-1.5231366,-1.7462369,-1.6531924,-1.4080694
115,0.9799864,0.97518414,0.35027257,0.98225564,0.9847141
116,0.9798902,0.9753795,0.21791336,0.98175734,0.9846142
117,0.9809876,0.9757979,0.44566372,0.98243684,0.9847183
118,0.9791051,0.975589,0.21622472,0.9827684,0.98459375
