,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.98022765,0.9761526,0.2392851,0.98379326,0.98497635
1,0.9801237,0.9753963,0.27320266,0.98247147,0.98493135
2,0.97985774,0.9758776,0.3646918,0.9831408,0.98499566
3,0.97975576,0.9755224,0.2729233,0.9824415,0.9848446
4,-1.6378703,0.8813261,0.49707174,0.89453846,0.34119433
5,0.9798785,0.9754004,0.31016442,0.98246074,0.9848789
6,0.9802012,0.9760975,0.28947482,0.9833721,0.9849882
7,0.9798958,0.976525,0.22191446,0.98321617,0.9847873
8,0.979381,0.9758467,0.21559483,0.98213583,0.9848457
9,-2.24873,1.8979573,0.047883842,1.1291807,-0.36252117
10,0.98021406,0.97538894,0.2525787,0.98294103,0.9847941
11,0.9795926,0.97577393,0.30874974,0.98215246,0.9848314
12,0.9796387,0.9766101,0.28277722,0.98265433,0.98493975
13,0.9797655,0.9756228,0.26211298,0.9829407,0.98478776
14,1.5507,-0.8864526,0.8834891,-0.085121326,0.7795756
15,0.9794931,0.9756288,0.2633883,0.9821022,0.9847604
16,0.9800237,0.9764748,0.5168527,0.98298466,0.9848756
17,0.98017365,0.9754584,0.25452548,0.983181,0.984807
18,0.98007673,0.97640175,0.2480071,0.9833687,0.9847793
19,-2.139144,-0.62823576,1.2030189,-0.9034423,0.33497036
20,0.98052526,0.9762422,0.32061055,0.9839602,0.9848554
21,0.98017126,0.9757714,0.31169787,0.98229295,0.98480564
22,0.97840744,0.9758056,0.30968103,0.98278236,0.9847592
23,0.97984415,0.97573787,0.39847326,0.9824569,0.9848011
24,1.1305673,0.6416751,-0.45288864,1.1946114,-0.27037776
25,0.9797722,0.97544503,0.27567586,0.982316,0.9846334
26,0.97960526,0.9762149,0.2211429,0.9827781,0.9847624
27,0.97925204,0.97532505,0.28744352,0.9821751,0.9848688
28,0.9804389,0.9761286,0.37345958,0.98396075,0.98464483
29,-0.45689586,0.12728141,1.1393223,-0.28427202,1.6695397
30,0.9795284,0.9757972,0.28519937,0.9830106,0.98472476
31,0.9805635,0.97592735,0.29966426,0.9824129,0.9846979
32,0.9804866,0.9757365,0.30761868,0.9832441,0.9845974
33,0.98001945,0.9762476,0.36199135,0.98295933,0.98468786
34,0.58616656,0.32631415,-1.6675816,-0.8792604,1.4661578
35,0.97900796,0.9757563,0.43546548,0.98356146,0.984735
36,0.97996134,0.97572654,0.25713402,0.9832705,0.98479545
37,0.9805558,0.97593695,0.38379598,0.98273003,0.98453575
38,0.9802359,0.97602665,0.43115607,0.98313713,0.98466164
39,0.44714916,-1.4566076,-0.83449745,-1.1878515,2.0019073
40,0.97972095,0.9761264,0.29977542,0.98352414,0.98471874
41,0.97943056,0.9757877,0.26728502,0.9820939,0.984571
42,0.97992563,0.97610056,0.24969062,0.9834895,0.9846956
