,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.9804688,0.9748883,0.21500015,0.98447037,0.989317
1,0.98038644,0.97483516,0.30471966,0.9838961,0.98930883
2,0.98052466,0.9746404,0.4156402,0.9814024,0.989223
3,0.97958976,0.97499347,0.2943391,0.98214597,0.9889116
4,-0.98539966,-0.6128907,-0.29190034,1.4252583,1.0109882
5,0.9802406,0.9748605,0.36254826,0.9830209,0.9892484
6,0.9801302,0.97506124,0.17821361,0.98253036,0.9890984
7,0.9810161,0.9752719,0.3420359,0.98320836,0.9893123
8,0.9808398,0.97457325,0.4095927,0.9832292,0.98912185
9,-1.6117549,-0.95665544,0.5920812,-0.20363387,-0.1909738
10,0.9807185,0.9750367,0.41890284,0.98336375,0.9892299
11,0.980253,0.9750731,0.28246135,0.9845164,0.98916554
12,0.9801375,0.97487825,0.31210387,0.98221385,0.9890428
13,0.9804397,0.9751238,0.32139722,0.98215604,0.9892567
14,0.2457764,-0.43722612,1.8887308,0.18774535,-0.43519625
15,0.9803998,0.9752594,0.24004208,0.9825995,0.98937476
16,0.9804419,0.9751635,0.22734599,0.9843174,0.98882157
17,0.98043376,0.9749071,0.21364816,0.9832285,0.9889251
18,0.98122823,0.974728,0.5944986,0.9830316,0.9888833
19,0.4765399,0.54562426,0.277225,-1.1203268,-0.5568553
20,0.9805357,0.9749968,0.29857227,0.9833015,0.988935
21,0.97945327,0.97519386,0.24816646,0.9826514,0.98880076
22,0.98104995,0.97508216,0.48318762,0.98317385,0.9889545
23,0.98115945,0.97464156,0.37442175,0.9829247,0.98897046
24,-0.03331102,1.8887438,0.74399215,-3.6820896,1.5416808
25,0.98018426,0.9740974,0.29522178,0.9819445,0.98915386
26,0.9807145,0.9753089,0.32596758,0.98371327,0.9893336
27,0.98054594,0.9750059,0.22508536,0.98301375,0.98889166
28,0.9801074,0.9748494,0.31112927,0.9826442,0.98866934
29,-0.29465505,1.0888952,1.2905467,-0.824582,-0.6291161
30,0.9811514,0.97515756,0.2749049,0.98184806,0.9888516
31,0.9805338,0.9750812,0.40719974,0.98360866,0.98895687
32,0.98017955,0.97525066,0.21890533,0.98261166,0.9889566
33,0.9795666,0.9745609,0.27366847,0.9822905,0.98880196
34,-0.15703365,-0.06511613,1.299712,0.89454544,-0.023928644
35,0.9808643,0.97497404,0.29887006,0.9838152,0.98862845
36,0.9805546,0.9749532,0.2808821,0.98386157,0.9888281
37,0.98062193,0.9751243,0.39948034,0.9837893,0.9891609
38,0.9802508,0.97524124,0.29056183,0.983338,0.9887901
39,0.058702163,-1.4437093,-0.6493859,-0.32560986,-1.2664227
40,0.9801213,0.9755816,0.20929308,0.9841487,0.9887945
41,0.98123324,0.97558326,0.2648864,0.9823318,0.9887588
42,0.9797184,0.9753666,0.30748618,0.9824861,0.9886819
43,0.9810272,0.97492886,0.3035894,0.98214376,0.98895925
44,-0.021712404,-0.056820657,-2.2831178,-1.7458524,-0.59645134
45,0.98117924,0.975601,0.34377965,0.9843499,0.9884115
46,0.9810881,0.9741794,0.39142638,0.9811738,0.98886144
47,0.9817652,0.9754913,0.23129408,0.98440164,0.9886873
48,0.9807579,0.9749643,0.2562865,0.9812214,0.98874855
49,-0.21236674,-0.66520816,-0.42732698,-0.2720619,0.14910372
50,0.97939706,0.97544855,0.24927981,0.98224175,0.98869
51,0.9811034,0.9751818,0.48059314,0.98421466,0.9887123
52,0.98068506,0.9752115,0.29929182,0.9844115,0.98875296
53,0.9809736,0.9753478,0.4023408,0.98264337,0.9885703
54,-0.37512043,0.98588,0.7435198,-0.76187027,0.17972706
55,0.9809076,0.97522175,0.28529534,0.98385656,0.9884997
56,0.9802096,0.97462773,0.25740346,0.98367494,0.98864156
57,0.9805484,0.97431403,0.38348082,0.982709,0.98859626
58,0.97995025,0.97539943,0.21788652,0.9831785,0.988772
59,0.5172045,0.574571,2.3190186,0.49790558,-0.9521656
60,0.980313,0.9747548,0.27764326,0.98167473,0.9885324
61,0.9806289,0.97519684,0.32543093,0.98295075,0.98849016
62,0.98110735,0.97480166,0.36064154,0.98168147,0.9887524
63,0.98091954,0.97517794,0.22231646,0.9828139,0.9885973
64,0.42543933,-0.6167397,0.80195975,0.70479363,-0.41446757
65,0.9807832,0.9753259,0.2788279,0.98320854,0.98845476
66,0.98202395,0.97554946,0.25511736,0.9846608,0.9887916
67,0.9812439,0.9754396,0.42131054,0.9827693,0.98839647
68,0.98083854,0.9745801,0.39202917,0.981597,0.98874384
69,0.5460015,-0.5291384,-0.6297211,-0.3169717,-0.9403966
70,0.9812475,0.9753213,0.348382,0.98459023,0.9886472
71,0.97995013,0.9750218,0.21958345,0.9824671,0.9885221
72,0.98117375,0.97478855,0.66314214,0.9831568,0.98885417
73,0.9806679,0.975155,0.3103173,0.98329407,0.98833567
74,0.14524458,2.4322054,-1.0375638,0.5960577,1.2981062
75,0.9798463,0.97518736,0.34171098,0.982962,0.9885307
76,0.9800174,0.97491455,0.34922552,0.9824909,0.9885537
77,0.9814332,0.9756799,0.19942045,0.9840206,0.98855734
78,0.9809982,0.97476935,0.31290385,0.9827316,0.98835826
79,-0.68684417,0.78212124,-1.341418,-0.70153487,-0.87323225
80,0.9810899,0.97515243,0.34796733,0.98282087,0.9883785
81,0.98067755,0.9744019,0.38986042,0.9826887,0.9883958
82,0.98103315,0.9755864,0.34674558,0.9822384,0.9886982
83,0.9808749,0.9751462,0.22530991,0.9843372,0.9885698
84,1.2469923,-0.65553916,-1.4001683,0.7139689,0.5753231
85,0.9802521,0.9751981,0.32500604,0.9816877,0.9884851
86,0.98113316,0.9751276,0.49768442,0.9823789,0.98853356
87,0.980652,0.97509027,0.18710917,0.98383063,0.9884129
88,0.9810644,0.9747911,0.26575744,0.98309654,0.9884553
89,0.37548682,0.91229844,0.94617033,0.8378254,-0.53462005
90,0.9801337,0.9748346,0.39416486,0.98357785,0.98837894
91,0.9803775,0.97503346,0.22863448,0.98347336,0.98871225
92,0.98069024,0.97547114,0.28304055,0.9820243,0.9881986
93,0.98126954,0.97553194,0.20662513,0.9850537,0.9884529
94,0.17986767,-0.76698667,1.2525954,1.872331,0.7166943
95,0.9813537,0.9751841,0.45534712,0.9821461,0.98851603
96,0.9812096,0.97555673,0.23489912,0.9844618,0.9883374
97,0.9810923,0.9749107,0.2698762,0.9837807,0.98844296
98,0.9806501,0.97573173,0.26879013,0.9835792,0.9882772
99,1.5701658,-1.4377327,-0.5688357,-0.75091684,-0.09923008
100,0.9808908,0.9750091,0.35285825,0.98317254,0.98840475
101,0.9803169,0.97553456,0.30957556,0.98276496,0.9883604
102,0.98127216,0.97461873,0.36461222,0.9836112,0.9883459
103,0.9812716,0.974967,0.33333376,0.984149,0.9885601
104,1.1413873,0.74902034,-1.0139606,0.009820917,-0.92921877
105,0.98075104,0.9748668,0.28934294,0.98264843,0.98826265
106,0.9808057,0.9749612,0.42126185,0.98299265,0.98844904
107,0.9804874,0.97549,0.28522196,0.98173505,0.9885172
108,0.9822717,0.9758591,0.5892726,0.9833793,0.9883346
109,0.044088922,-0.71042526,0.10507572,0.47984362,-1.4339577
110,0.98106116,0.97507966,0.33546856,0.9823061,0.9883759
111,0.981243,0.97557884,0.2563218,0.984681,0.98806673
112,0.98145664,0.9759597,0.18948382,0.98449135,0.9884427
113,0.9815769,0.9749129,0.5612021,0.9823352,0.9883053
114,1.735005,-0.35813344,0.50222564,0.36671737,0.026464218
115,0.980762,0.97508746,0.26223817,0.9845748,0.98841476
116,0.9809888,0.9752297,0.21295024,0.98228735,0.9881921
117,0.98144245,0.9750807,0.44990033,0.9849125,0.9884059
