,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.83017045,0.7912728,0.20876822,0.85251653,0.79447395
1,0.8315309,0.78379804,0.20677571,0.84719753,0.80176216
2,0.8279254,0.7849099,0.2774673,0.85456693,0.8004453
3,0.83210766,0.78856146,0.29248944,0.8336964,0.8039503
4,0.0,0.0,0.0,0.0,0.0
5,0.82506293,0.79010224,0.3264277,0.8457189,0.80673087
6,0.82880676,0.78353065,0.34645167,0.83411306,0.80758756
7,0.83419925,0.7928537,0.23385282,0.833209,0.8122262
8,0.8320085,0.79237235,0.38557646,0.83134186,0.81458175
9,0.0,0.0,0.0,0.0,0.0
10,0.8311112,0.7948208,0.36503485,0.8409359,0.8143454
11,0.82902515,0.7983855,0.30199006,0.8362882,0.8157375
12,0.83259374,0.7933551,0.22145309,0.85003805,0.8172286
13,0.82841325,0.79551715,0.29176703,0.8365319,0.81833327
14,0.0,0.0,0.0,0.0,0.0
15,0.83236915,0.7982751,0.23544,0.84624994,0.81603885
16,0.833734,0.79242665,0.27486396,0.8412183,0.82100856
17,0.84116244,0.798103,0.2970507,0.8425738,0.82365656
18,0.8333418,0.7970883,0.289142,0.8493037,0.82373655
19,0.0,0.0,0.0,0.0,0.0
20,0.840178,0.80018806,0.20175186,0.8460452,0.8227442
21,0.83928573,0.80435467,0.40201798,0.8357329,0.82424545
22,0.831003,0.78964347,0.3948975,0.85604954,0.826111
23,0.8365225,0.80333656,0.35665214,0.8438288,0.82329565
24,0.0,0.0,0.0,0.0,0.0
25,0.8318286,0.7961444,0.27428934,0.84379435,0.82763207
26,0.8359541,0.7956565,0.27730018,0.8541163,0.8243735
27,0.8365485,0.8013486,0.24537238,0.8519252,0.8280174
28,0.8352229,0.7938493,0.45452288,0.8436637,0.82852113
29,0.0,0.0,0.0,0.0,0.0
30,0.83198696,0.8033985,0.2507134,0.84561276,0.8292445
31,0.83865577,0.8079543,0.3051999,0.8464322,0.8279866
32,0.83651525,0.7945474,0.2802151,0.84688675,0.83128744
33,0.83177465,0.8021467,0.20469531,0.8482407,0.8300932
34,0.0,0.0,0.0,0.0,0.0
35,0.83106375,0.79922366,0.20251656,0.84723467,0.8295999
36,0.8418948,0.8034106,0.38762757,0.8467193,0.8349249
37,0.83529663,0.80367506,0.3180937,0.8490581,0.83375084
38,0.83707184,0.7994353,0.2776341,0.8485597,0.83184874
39,0.0,0.0,0.0,0.0,0.0
40,0.83564955,0.8044477,0.2584432,0.85348016,0.8340053
41,0.83079404,0.8069961,0.20784482,0.8484709,0.82858026
42,0.8322629,0.80026597,0.2443971,0.84873194,0.8324245
43,0.8383102,0.80263406,0.24196108,0.84010905,0.8356809
44,0.0,0.0,0.0,0.0,0.0
45,0.8356873,0.79434836,0.24913321,0.84416157,0.83420706
46,0.8397039,0.8010377,0.2658104,0.84900093,0.8384367
47,0.8382833,0.8049189,0.44430807,0.85204047,0.83586687
48,0.8301068,0.79990995,0.31528038,0.85670996,0.8388756
49,0.0,0.0,0.0,0.0,0.0
50,0.834294,0.79477316,0.30834436,0.8527064,0.83666533
51,0.843605,0.8054509,0.25236395,0.850631,0.8376772
52,0.84229964,0.80460936,0.21106601,0.8450066,0.83643574
53,0.8415,0.8074306,0.35504755,0.83806324,0.8387896
54,0.0,0.0,0.0,0.0,0.0
55,0.84239465,0.80281585,0.31411657,0.84246045,0.83857393
56,0.84337723,0.8095274,0.46077162,0.8482832,0.8381232
57,0.8431017,0.8085868,0.23178531,0.8474762,0.8391898
58,0.83653146,0.80035734,0.24768795,0.8538083,0.8415434
