,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.7927166,0.7796236,0.22071983,0.8144267,0.7428335
1,0.8008199,0.7757941,0.21827298,0.8183636,0.7534004
2,0.80380946,0.7823982,0.21762763,0.83046234,0.76057005
3,0.80512047,0.77949727,0.16517991,0.81861776,0.76605105
4,0.18758503,1.3232722,0.0,1.5175226,0.0
5,0.80080616,0.7797485,0.21286622,0.8114269,0.77001107
6,0.8068892,0.7766943,0.17262177,0.8227261,0.7766045
7,0.8106158,0.7765798,0.18960443,0.81993663,0.77842903
8,0.8015281,0.7782815,0.13037914,0.8198105,0.7816137
9,0.46479526,0.87503695,0.4742972,0.475899,1.5152018
10,0.79946434,0.7810595,0.15816005,0.8111587,0.78290343
11,0.8078722,0.78158814,0.1944344,0.8164538,0.7866782
12,0.8087555,0.77960354,0.176529,0.81555516,0.78892857
13,0.79535586,0.77328086,0.14624459,0.8220568,0.7886125
14,0.0,0.4968718,0.11030707,0.39373815,0.1454972
15,0.81390023,0.78521174,0.18296722,0.8192234,0.7896954
16,0.8091771,0.78186995,0.15246719,0.8160843,0.7911265
17,0.8150189,0.7809509,0.21362521,0.82467884,0.7925494
18,0.7947561,0.7789816,0.16958025,0.8127923,0.7952831
19,0.05711913,0.0,0.0,0.0,0.18777138
20,0.8068305,0.7822334,0.2028362,0.81825745,0.7962281
21,0.802352,0.77943224,0.19609553,0.812213,0.7986091
22,0.8137417,0.7795301,0.17005177,0.8255867,0.79900986
23,0.8156375,0.78113896,0.18787871,0.8234938,0.8002373
24,0.27123958,1.1901188,0.36561537,0.08462939,0.0
25,0.8054638,0.7807662,0.20191143,0.82108724,0.8023678
26,0.8065397,0.7764686,0.18407679,0.8198368,0.8013012
27,0.8052247,0.78121346,0.15363093,0.815785,0.80360466
28,0.8034097,0.7839967,0.15027517,0.8236159,0.8017019
29,0.0,0.10611678,0.0,0.23085025,0.0
30,0.810044,0.77974623,0.18362062,0.8209251,0.80389214
31,0.8082156,0.7811797,0.1736549,0.8134541,0.8063741
32,0.8106075,0.7801247,0.15931334,0.8150119,0.8056856
33,0.80903685,0.7823545,0.20151898,0.8159351,0.8062763
34,0.0,0.0,0.87566596,0.0,1.8204591
35,0.8001836,0.78209335,0.16869077,0.812658,0.80774814
36,0.80864894,0.78446066,0.16820182,0.8247732,0.80752707
37,0.80620927,0.78193015,0.18532246,0.8120507,0.8074696
38,0.8001149,0.7844381,0.20329495,0.8163004,0.8076428
39,0.55318177,0.085211806,0.46381775,0.0,0.0
40,0.8104028,0.78087485,0.14023674,0.82527816,0.8086662
41,0.806171,0.7831341,0.20706025,0.81606334,0.810107
42,0.8109821,0.79000854,0.17541356,0.8294777,0.80971944
43,0.8145833,0.7820552,0.22411053,0.8232777,0.8114888
44,0.0,0.0,0.23058034,0.0010770112,0.0
45,0.81134975,0.7825537,0.16885976,0.81782645,0.8117784
46,0.80400527,0.78266394,0.19155973,0.8289152,0.81167084
47,0.8054131,0.78409326,0.20482807,0.8230947,0.81141526
48,0.8139817,0.77673024,0.17591041,0.81521595,0.81518275
49,0.0,0.5470413,0.0,0.45641246,0.0
50,0.80895823,0.7838471,0.19437706,0.81931293,0.81432045
51,0.8075799,0.7820163,0.19245799,0.8215834,0.8132498
52,0.8115948,0.78562003,0.19575496,0.82269573,0.81515706
53,0.81774485,0.7844712,0.19410703,0.8218455,0.8153245
54,0.0,0.0,0.0,2.0376647,0.091497056
55,0.80740786,0.7847162,0.14520295,0.8240778,0.8158005
56,0.8128269,0.78239495,0.1743368,0.8225574,0.81596154
57,0.80490845,0.7872252,0.25555545,0.8183266,0.8162782
58,0.809871,0.7821239,0.2097089,0.8177244,0.8167636
59,0.16035998,0.0,0.0,0.29589328,0.0
60,0.8118981,0.7867851,0.16476245,0.82027364,0.8155145
61,0.8082854,0.78318626,0.16626792,0.82384956,0.81759715
62,0.815203,0.78558123,0.17029564,0.82301486,0.81685114
63,0.814476,0.78610486,0.16194977,0.81795543,0.81748945
64,0.27254647,0.0,0.0,0.0,0.7702171
65,0.8070992,0.78400725,0.22734797,0.8211651,0.8175539
66,0.80501425,0.7842951,0.17754354,0.82359684,0.81865144
67,0.8089119,0.78947926,0.16579126,0.8182496,0.8192475
68,0.8121497,0.7863363,0.2144412,0.82191557,0.81790936
69,0.0,0.46705583,0.0,0.0,0.0
70,0.81944835,0.78676546,0.21477523,0.8300101,0.8201605
71,0.81044763,0.789843,0.1710132,0.8196925,0.8197355
72,0.8162426,0.78232753,0.2871156,0.82781565,0.8213757
73,0.80922097,0.7901705,0.14503174,0.8250279,0.819625
74,0.0,0.06429748,0.0,1.3443563,0.0
75,0.8090512,0.78307706,0.14327444,0.8286975,0.8213814
76,0.8071259,0.7847466,0.15250948,0.8216507,0.8208399
77,0.80695295,0.78440654,0.2004288,0.81870496,0.8219972
78,0.81458503,0.7915292,0.19786316,0.8183749,0.821846
79,0.0,0.43775642,0.0,0.66619575,0.17923728
80,0.8139959,0.7882868,0.25069696,0.82378775,0.82236874
81,0.80766594,0.7819284,0.14820902,0.820355,0.8234772
82,0.8123774,0.7849096,0.16647717,0.8248789,0.82252735
83,0.80687475,0.7876741,0.20829844,0.81561846,0.82411426
84,0.0,0.5186561,0.0,0.0,0.0
85,0.81604195,0.7871576,0.19182405,0.8214722,0.82182693
86,0.8165904,0.7873779,0.16032809,0.8270387,0.8246842
87,0.80721843,0.7882484,0.16132192,0.82733196,0.82432115
88,0.80752355,0.7866849,0.15584156,0.82433575,0.8250085
89,0.71594316,0.34081766,1.3377322,0.5384721,0.0
90,0.8045637,0.7904934,0.19734125,0.82449776,0.8258938
91,0.80955106,0.7829553,0.1307843,0.8274612,0.8267753
92,0.80267704,0.78731996,0.1563064,0.8283406,0.82688475
93,0.82318395,0.785997,0.1874889,0.82701737,0.8254497
94,0.0,0.31682622,0.17749026,0.0,1.0897892
95,0.8136524,0.79271275,0.16842827,0.82490164,0.8253515
96,0.8160365,0.78954774,0.25505087,0.82526,0.8263482
