,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.8166678,0.78219557,0.264536,0.8304432,0.7794036
1,0.8028735,0.767794,0.21117446,0.8152441,0.7854457
2,0.801367,0.77277774,0.3504396,0.8158966,0.7921915
3,0.80017334,0.77667934,0.22106302,0.8157484,0.7955792
4,0.0,0.0,0.0,0.0,1.9025811
5,0.8075087,0.77726245,0.39545247,0.8229475,0.79843783
6,0.80495584,0.7779735,0.28103772,0.8330055,0.80123
7,0.8067038,0.7800259,0.34318548,0.8332336,0.8033958
8,0.80599207,0.78017634,0.3141858,0.8320564,0.80633885
9,0.0,1.5434995,0.0,0.1701892,0.6781915
10,0.8079534,0.78150356,0.27379972,0.82104987,0.80690116
11,0.8228398,0.7850814,0.21827868,0.8322627,0.808195
12,0.817779,0.7818022,0.36803868,0.8253279,0.81080186
13,0.81483305,0.7820682,0.32055336,0.83215,0.813052
14,0.08862398,0.0,0.7991285,0.0,0.0
15,0.8159973,0.78462446,0.19050732,0.8356478,0.81300056
16,0.8115024,0.7851121,0.27437332,0.8324418,0.81594896
17,0.8049964,0.7878648,0.23494945,0.8328401,0.8158671
18,0.81132346,0.78810763,0.25761184,0.82404214,0.81682813
19,0.0,0.0,0.0,1.9094491,0.48268217
20,0.81010413,0.78543264,0.27925846,0.8270228,0.81626934
21,0.8264979,0.78583074,0.37350643,0.8491468,0.81790745
22,0.8146673,0.79052925,0.26183757,0.8270645,0.82016224
23,0.8117972,0.78969747,0.2440437,0.83454305,0.8204306
24,0.62228954,0.0,0.0,0.33127144,0.0
25,0.8205661,0.7865692,0.35819143,0.8375412,0.821369
26,0.8146146,0.79028594,0.26578376,0.8255187,0.8226017
27,0.81430566,0.7884954,0.26650897,0.83833027,0.82246476
28,0.8193497,0.78976256,0.24495254,0.8400151,0.8231721
29,0.0,0.0,0.0,0.0,0.33614245
30,0.8180159,0.7954716,0.2726877,0.83749783,0.82430214
31,0.8202922,0.79090625,0.14937332,0.83722866,0.824463
32,0.8144459,0.79021347,0.25761622,0.8418127,0.8245586
33,0.8132419,0.78839725,0.25508118,0.83975,0.8267198
34,0.7277917,0.0,0.3657107,0.52483886,0.0
35,0.8132339,0.792851,0.27636394,0.84048325,0.827717
36,0.8192978,0.79073876,0.24084917,0.83656526,0.8248633
37,0.813838,0.79326034,0.22174656,0.8356079,0.82763964
38,0.82638556,0.7842962,0.2718585,0.83948886,0.82766986
39,0.0,0.0,0.0,0.0,0.028935887
40,0.821237,0.79190105,0.23528346,0.83589965,0.82862955
41,0.81866336,0.7914478,0.18896091,0.8459796,0.82863516
42,0.8227336,0.793962,0.3818431,0.8414945,0.82950276
43,0.8161882,0.793611,0.18835594,0.8403524,0.83090925
44,0.0,0.0,0.03364058,0.0,0.21823199
45,0.8199049,0.79101187,0.21060193,0.83960384,0.83091646
46,0.8095661,0.79218066,0.28836185,0.8437756,0.82988226
47,0.8193378,0.79469603,0.29118294,0.83822966,0.83149797
48,0.8199561,0.7918016,0.39621586,0.8477524,0.83197856
49,0.0,1.897934,0.7057913,1.3880577,0.0
50,0.8172849,0.7930213,0.32753655,0.8354624,0.83150804
51,0.81959325,0.7918694,0.26755857,0.8403607,0.83296657
52,0.82844764,0.7945485,0.21147746,0.85004526,0.83326644
53,0.8190755,0.79602927,0.24368392,0.8328791,0.83359736
54,1.0008703,0.0,1.4412179,0.0,0.0
55,0.81427884,0.7939373,0.22055472,0.837162,0.833589
56,0.8254414,0.7935386,0.2327643,0.8388457,0.8351552
57,0.8123539,0.79556215,0.21361408,0.8414096,0.83367157
58,0.8168478,0.79694897,0.30250743,0.8403653,0.83531606
59,1.1266125,0.0,0.6825519,0.0,0.0
60,0.8165987,0.79395944,0.20330556,0.831753,0.8361741
61,0.82518375,0.7936654,0.24368569,0.8516841,0.8354551
62,0.8197412,0.79679483,0.3325029,0.8362796,0.83614266
63,0.8242402,0.79561,0.30242074,0.84073895,0.8362209
64,0.0,0.41881454,0.0,2.1326194,0.15274754
65,0.82168144,0.79458535,0.34413663,0.8313612,0.8368455
66,0.8255895,0.7894479,0.16339763,0.843984,0.8371165
67,0.81686455,0.79287326,0.29010314,0.83896744,0.83658767
68,0.81747156,0.8003174,0.17157027,0.8413892,0.8373218
69,0.6826226,1.3397459,0.9845725,0.0,0.0
70,0.8215346,0.7968497,0.31238005,0.84674394,0.8390476
71,0.8181546,0.79556423,0.26706815,0.831344,0.8383987
72,0.8268949,0.7980417,0.23992376,0.8496598,0.83926064
73,0.8148226,0.7955437,0.27449003,0.8284069,0.8385148
74,0.0,0.16641612,0.25499272,0.42413926,0.13207147
75,0.8211153,0.7960961,0.24015422,0.8450943,0.83905816
76,0.8267787,0.797857,0.2161239,0.83689445,0.8396339
77,0.82326883,0.79789495,0.255769,0.8433043,0.8403641
78,0.816803,0.79809576,0.31312656,0.84006566,0.8394533
79,0.0,0.0,0.0,3.3490121,0.0030317307
80,0.82055044,0.79734886,0.19670628,0.83448744,0.8409252
81,0.82716715,0.7964194,0.3229362,0.84217304,0.839248
82,0.8183235,0.79866594,0.21597905,0.8426581,0.8405071
83,0.82277435,0.7965586,0.23364468,0.84624,0.84132457
84,0.46330142,0.21292123,0.0,0.3138371,0.22490615
85,0.8205051,0.79541016,0.27298334,0.83541083,0.84074104
86,0.8228056,0.7958505,0.32462326,0.84121865,0.84128445
87,0.8281308,0.7954118,0.23074257,0.8473959,0.8416759
88,0.8313326,0.8001462,0.45868108,0.849806,0.8422263
89,0.0,1.2779562,1.0865504,0.0,0.23438631
90,0.8274349,0.7987331,0.26301488,0.83929497,0.8422727
91,0.82552075,0.79516304,0.27953503,0.844956,0.8423541
92,0.82625294,0.7997633,0.23857951,0.8475544,0.8432871
93,0.8233535,0.79749364,0.23160297,0.8387973,0.84273165
94,0.0,1.2805486,0.0,0.0,0.86373794
95,0.8173101,0.7999117,0.25646257,0.8392839,0.843173
96,0.8235117,0.79172504,0.28411445,0.8392695,0.8420445
97,0.8211369,0.7987855,0.26870117,0.845028,0.8426124
98,0.8323422,0.8017649,0.3378518,0.8496489,0.8452777
99,0.36321935,1.734181,0.0,0.45894098,0.0
100,0.8263778,0.79563874,0.2889528,0.840672,0.8445318
101,0.82974076,0.8031907,0.21571974,0.8444592,0.8426429
102,0.8304805,0.8004526,0.2518419,0.8519009,0.845387
103,0.827715,0.7936786,0.277962,0.84048575,0.8450478
104,0.8384446,0.0,0.05583012,0.3938715,1.0160638
105,0.8224697,0.8022999,0.28910017,0.84748435,0.8441502
106,0.821176,0.79709786,0.263854,0.83995205,0.8448035
107,0.8241926,0.79969144,0.26421422,0.85556823,0.84451944
108,0.8254082,0.79820234,0.21392344,0.844713,0.84500134
109,0.0,0.5240329,0.38916206,0.0,0.0
110,0.8276788,0.7959298,0.17316464,0.8478154,0.8457332
111,0.82516545,0.7962488,0.31561866,0.8451723,0.84673005
112,0.82990086,0.79622585,0.23822178,0.8423132,0.8453952
113,0.8287628,0.7990953,0.28586724,0.846364,0.84573436
114,0.33313984,1.6052498,0.0,0.0,0.0
115,0.83432424,0.7991708,0.4871891,0.8524925,0.84572196
116,0.8142816,0.79802734,0.25588265,0.84364337,0.84669477
117,0.8312578,0.80029815,0.23826602,0.8427144,0.8461736
118,0.8146323,0.7990312,0.26435608,0.83673084,0.84676987
119,0.6402011,0.7311581,0.14197457,0.0,0.0
120,0.8164102,0.7986975,0.2950486,0.8403242,0.8463885
121,0.8320783,0.7951432,0.21356577,0.8361451,0.84777856
122,0.8230613,0.8012978,0.29898864,0.85689574,0.84779537
123,0.81861836,0.79883295,0.3107424,0.83490247,0.8482495
