,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.9274199,0.91487914,0.19194134,0.93920124,0.91936266
1,0.92587787,0.9163306,0.1980598,0.93838716,0.92061424
2,0.927224,0.9135895,0.193221,0.9387878,0.9203694
3,0.925159,0.91622055,0.17253514,0.93697715,0.9214059
4,0.0,0.0,0.0,0.0,0.0
5,0.9266263,0.9157333,0.12829208,0.9392708,0.9210039
6,0.925588,0.91658634,0.26411572,0.9374163,0.92095876
7,0.9275204,0.91465616,0.20422919,0.9406851,0.9196904
8,0.9278319,0.915292,0.26095474,0.936263,0.921454
9,0.0,0.0,0.0,0.0,0.0
10,0.92697376,0.91668177,0.21300101,0.93922275,0.92123383
11,0.92807066,0.91646016,0.23418772,0.9395677,0.9221038
12,0.92832816,0.9138495,0.22702591,0.93741775,0.9204024
13,0.9293509,0.91741145,0.39926374,0.9377749,0.9211295
14,0.0,0.0,0.0,0.0,0.0
15,0.92819023,0.914006,0.22190185,0.934796,0.921324
16,0.92931485,0.91544384,0.22466962,0.9418163,0.9207055
17,0.92668086,0.91677165,0.29621235,0.93799573,0.92306644
18,0.92642206,0.9169533,0.18123472,0.93292487,0.92128104
19,0.0,0.0,0.0,0.0,0.0
20,0.9271176,0.9163848,0.16617648,0.93682116,0.9215151
21,0.925879,0.9148383,0.20584762,0.93700653,0.9221722
22,0.93083405,0.9157162,0.30598593,0.9393182,0.92234534
23,0.9260527,0.913987,0.17473221,0.93603593,0.9212523
24,0.0,0.0,0.0,0.0,0.0
25,0.9276542,0.9136493,0.28045586,0.93505126,0.9210727
26,0.9275972,0.9167013,0.17866549,0.9379391,0.9220889
27,0.926235,0.91403836,0.20643894,0.9374374,0.92217153
28,0.93041795,0.91871554,0.25824463,0.9393116,0.9224393
29,0.0,0.0,0.0,0.0,0.0
30,0.9244223,0.9175037,0.18109587,0.93492377,0.92261064
31,0.9284547,0.91613275,0.18588613,0.936508,0.9226708
32,0.9275782,0.91351527,0.24272484,0.9368689,0.92103744
33,0.9315197,0.91662896,0.22714958,0.93935776,0.92280364
34,0.0,0.0,0.0,0.0,0.0
35,0.92942697,0.91542476,0.31863353,0.93864274,0.92287034
36,0.9282773,0.91401654,0.20776458,0.9392784,0.9218215
37,0.92861396,0.91686326,0.22871698,0.9331528,0.92247707
38,0.9261806,0.9131707,0.19127664,0.93790627,0.92209446
39,0.0,0.0,0.0,0.0,0.0
40,0.92938757,0.9176116,0.21339284,0.9361349,0.92321104
41,0.9303949,0.9157994,0.29506078,0.93799675,0.92197204
42,0.9261849,0.9166782,0.1939402,0.9400033,0.922986
43,0.9285405,0.9146948,0.21945967,0.94036025,0.9219193
44,0.0,0.0,0.0,0.0,0.0
45,0.93321085,0.9163475,0.3879376,0.94098055,0.92371786
46,0.9283691,0.9150199,0.27530125,0.93616337,0.9225818
47,0.9279593,0.91238075,0.15365626,0.93952394,0.92206544
48,0.9289746,0.9169191,0.18885827,0.93578523,0.9230623
49,0.0,0.0,0.0,0.0,0.0
50,0.9279922,0.916072,0.20829767,0.9407224,0.9231074
51,0.9292026,0.917534,0.17573035,0.93999875,0.9236423
52,0.9303371,0.91318655,0.23913811,0.93958044,0.92297405
53,0.9297751,0.9156381,0.20356467,0.93834955,0.92329234
54,0.0,0.0,0.0,0.0,0.0
55,0.927104,0.9158107,0.2526203,0.936185,0.92256534
56,0.9320599,0.91710025,0.3247276,0.93706304,0.92263305
57,0.92993945,0.9136521,0.17601413,0.94076675,0.9231642
58,0.9285597,0.9153667,0.20928018,0.9350791,0.9238123
59,0.0,0.0,0.0,0.0,0.0
60,0.92680377,0.91468,0.18474677,0.93745106,0.9235926
61,0.9300754,0.914804,0.22125909,0.94096786,0.9241673
62,0.9307906,0.91792583,0.28070417,0.9391237,0.9238108
63,0.92736787,0.9160634,0.20115231,0.9360951,0.92315495
64,0.0,0.0,0.0,0.0,0.0
65,0.929992,0.9155344,0.22821546,0.9363084,0.9236794
66,0.9267856,0.9173727,0.2199306,0.93906903,0.9242641
67,0.93181294,0.9157652,0.27057505,0.9357917,0.9235547
68,0.9315243,0.9134718,0.186391,0.9395592,0.9236285
69,0.0,0.0,0.0,0.0,0.0
70,0.93238646,0.91689754,0.2662936,0.93908715,0.92351437
71,0.93033814,0.91596836,0.26665136,0.9404349,0.92376447
72,0.92775846,0.9147002,0.2851693,0.9358074,0.9237489
73,0.9277293,0.91765976,0.17105319,0.93487185,0.9239131
74,0.0,0.0,0.0,0.0,0.0
75,0.9290653,0.9152197,0.3156143,0.9396253,0.92399764
76,0.9274786,0.9145367,0.19129354,0.93774766,0.92372334
77,0.92570215,0.91499525,0.20926057,0.93467444,0.9248138
78,0.92663765,0.9179571,0.17888433,0.9402203,0.9241365
79,0.0,0.0,0.0,0.0,0.0
80,0.9285868,0.91688526,0.21803205,0.9349763,0.924941
81,0.93152004,0.9133323,0.31721398,0.93839127,0.9238294
82,0.9303436,0.9135303,0.17062543,0.9388131,0.9236468
83,0.92920464,0.91596293,0.18736905,0.9378702,0.92481756
84,0.0,0.0,0.0,0.0,0.0
85,0.9293751,0.9189725,0.1917025,0.93601644,0.9243213
86,0.93248546,0.91780126,0.23185845,0.9407542,0.92436516
87,0.93006074,0.91557664,0.32073283,0.9382789,0.92431223
88,0.9271842,0.9139438,0.20627038,0.9386291,0.9245767
89,0.0,0.0,0.0,0.0,0.0
90,0.9293168,0.9151085,0.28277826,0.9396147,0.9253383
91,0.92984205,0.9167759,0.21510172,0.9387704,0.9250261
92,0.92984724,0.915842,0.22795425,0.93852067,0.92451
93,0.9277198,0.9174854,0.1834342,0.9364112,0.92372596
94,0.0,0.0,0.0,0.0,0.0
95,0.92893517,0.9133189,0.21788001,0.9381905,0.92423946
96,0.92817634,0.9158208,0.18191151,0.9402551,0.9256451
97,0.9262926,0.9130689,0.1591755,0.93848586,0.9234836
98,0.9248326,0.9186302,0.18545644,0.93927914,0.9258561
99,0.0,0.0,0.0,0.0,0.0
100,0.93104696,0.917825,0.27936864,0.9381207,0.92565465
101,0.9305512,0.9160138,0.33399013,0.93825185,0.92390794
102,0.93076074,0.9149147,0.27572244,0.93925494,0.9260134
103,0.93118113,0.9168391,0.21124592,0.93399566,0.92503256
104,0.0,0.0,0.0,0.0,0.0
105,0.9305926,0.9146902,0.21381038,0.93411344,0.9252324
106,0.929144,0.917801,0.20517938,0.93539506,0.9251143
107,0.9283425,0.9155578,0.29064462,0.9355552,0.92492193
108,0.92917156,0.9138305,0.23296155,0.93791497,0.9245959
