,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.91975266,0.91690576,0.12010742,0.9292807,0.9073789
1,0.9226645,0.91729045,0.17068544,0.92358166,0.9083225
2,0.9191681,0.917307,0.096033394,0.9248495,0.90689254
3,0.9194669,0.91560155,0.14349334,0.9264613,0.9066086
4,0.0,0.0,0.0,0.0,0.0
5,0.9216273,0.91637313,0.12843709,0.92896456,0.9074276
6,0.92034084,0.9174886,0.19523954,0.9264305,0.9064176
7,0.91935736,0.91557705,0.12612033,0.9274198,0.9035634
8,0.9225822,0.91733503,0.13502127,0.9256849,0.90742576
9,0.0,0.0,0.0,0.0,0.0
10,0.9188728,0.9163709,0.18434174,0.92638993,0.90592504
11,0.9191761,0.9161989,0.16418418,0.9294902,0.9073004
12,0.92032427,0.9165633,0.12332874,0.93282205,0.90706146
13,0.9188257,0.9173773,0.15339144,0.9246814,0.90588486
14,0.0,0.0,0.0,0.0,0.0
15,0.9195174,0.9169868,0.15102294,0.92924696,0.9049576
16,0.92119664,0.9185883,0.109549,0.9254108,0.9051849
17,0.9206807,0.9163147,0.123730496,0.92398244,0.90489477
18,0.9195942,0.91719913,0.13457645,0.92669755,0.90457106
19,0.0,0.0,0.0,0.0,0.0
20,0.9190076,0.91632384,0.113023095,0.9237256,0.9035958
21,0.92289907,0.91647726,0.19850273,0.9245101,0.90537834
22,0.9216238,0.91787744,0.15780826,0.9264248,0.9033761
23,0.92169136,0.91682476,0.1331068,0.9306174,0.9048691
24,0.0,0.0,0.0,0.0,0.0
25,0.9229511,0.9160702,0.123864874,0.9247339,0.90288186
26,0.9198728,0.9159939,0.12162226,0.9269544,0.9042241
27,0.9229717,0.916842,0.10389498,0.92726964,0.9038757
28,0.9200012,0.9165665,0.13880998,0.9287275,0.90269476
29,0.0,0.0,0.0,0.0,0.0
30,0.9224181,0.91791403,0.17560667,0.92924744,0.90169275
31,0.9191219,0.91590494,0.1436428,0.9274533,0.9034702
32,0.9186752,0.91698974,0.14734237,0.92420715,0.9020775
33,0.9220556,0.9166199,0.110573985,0.9305116,0.90047944
34,0.0,0.0,0.0,0.0,0.0
35,0.921551,0.9168259,0.19893752,0.9288547,0.90238976
36,0.9214706,0.91718954,0.11204204,0.9258047,0.90100265
37,0.9193139,0.91733325,0.1151897,0.925478,0.8992032
38,0.9213121,0.91523415,0.13520238,0.9257256,0.8999063
39,0.0,0.0,0.0,0.0,0.0
40,0.9218153,0.9165567,0.12471245,0.9262532,0.9012698
41,0.92072654,0.9155517,0.113944806,0.9241221,0.89987653
42,0.9200164,0.91645426,0.1744764,0.92306274,0.899377
43,0.92014074,0.91692764,0.18003121,0.9281482,0.8978699
44,0.0,0.0,0.0,0.0,0.0
45,0.9218526,0.91692805,0.16752966,0.92522025,0.8997959
46,0.9221437,0.9156917,0.18368813,0.9282628,0.89872235
47,0.9198465,0.9176886,0.14732768,0.92706335,0.8984875
48,0.9226617,0.91776884,0.1926388,0.9288085,0.8969169
49,0.0,0.0,0.0,0.0,0.0
50,0.92117673,0.91529834,0.16810782,0.9263216,0.8980685
51,0.92048204,0.91760623,0.16180095,0.9255951,0.8976293
52,0.9197763,0.9172883,0.14984682,0.9269563,0.8961622
53,0.9196428,0.91639864,0.11044208,0.92679626,0.89799625
54,0.0,0.0,0.0,0.0,0.0
55,0.92161554,0.91660213,0.15775514,0.9255183,0.8965467
56,0.9187098,0.917933,0.158847,0.9241133,0.8968828
57,0.9193002,0.91836625,0.13357237,0.92606807,0.89618605
58,0.9211783,0.9182024,0.11710035,0.92923456,0.89632595
59,0.0,0.0,0.0,0.0,0.0
60,0.91946274,0.91701907,0.19578212,0.92598665,0.8954029
61,0.92233056,0.91741765,0.16913544,0.9228577,0.8970956
62,0.92078674,0.91745275,0.11109811,0.9330777,0.8978837
63,0.9196211,0.91607213,0.13912535,0.92496425,0.89801526
64,0.0,0.0,0.0,0.0,0.0
65,0.91889787,0.91575515,0.112096265,0.9272921,0.8960585
66,0.920858,0.9173354,0.20700875,0.9272825,0.8972117
67,0.92379385,0.9165153,0.12810686,0.9272589,0.8976116
68,0.91896415,0.91762775,0.20614724,0.92680603,0.8997097
69,0.0,0.0,0.0,0.0,0.0
70,0.92091656,0.9169826,0.11760466,0.92972076,0.8985679
71,0.92184645,0.91666216,0.11068412,0.92545944,0.8960428
72,0.91987026,0.9152389,0.1300236,0.9303307,0.89799154
73,0.92123914,0.9180778,0.19425993,0.9263439,0.90425783
74,0.0,0.0,0.0,0.0,0.0
75,0.9204722,0.91800976,0.13081424,0.9250879,0.89975786
76,0.9202308,0.91723734,0.10899661,0.92793465,0.8972973
77,0.92051464,0.91575074,0.16185848,0.9249016,0.9001356
78,0.9202518,0.91763014,0.16758253,0.9270047,0.8991219
79,0.0,0.0,0.0,0.0,0.0
80,0.9213299,0.91761416,0.1464673,0.92901284,0.9000388
81,0.9189574,0.9185921,0.113269605,0.92590857,0.901222
82,0.91901547,0.9173963,0.16997531,0.92663753,0.90022117
83,0.9194641,0.914906,0.20903414,0.92606324,0.90211946
84,0.0,0.0,0.0,0.0,0.0
85,0.9213499,0.91719294,0.19189861,0.9238123,0.90052557
86,0.9194797,0.9171161,0.13172437,0.92794263,0.9014322
87,0.9230923,0.9181076,0.17728433,0.9255188,0.9025615
88,0.9177314,0.9160802,0.14129885,0.9253292,0.9035903
89,0.0,0.0,0.0,0.0,0.0
90,0.92157793,0.9166871,0.1318358,0.92943114,0.9015521
91,0.92017496,0.91790193,0.11593645,0.9291987,0.9023721
92,0.91957355,0.9173204,0.15925731,0.9289677,0.90517426
93,0.922069,0.91811174,0.17548814,0.92685103,0.9026944
94,0.0,0.0,0.0,0.0,0.0
95,0.9214337,0.91723967,0.119697966,0.9248466,0.90113586
96,0.917717,0.9172386,0.1403206,0.9235229,0.9037708
97,0.9209996,0.9165055,0.1433272,0.9231924,0.903487
98,0.92341626,0.91855896,0.17281039,0.9306469,0.9043029
99,0.0,0.0,0.0,0.0,0.0
100,0.92098075,0.9174554,0.21198939,0.9271101,0.9017051
101,0.92019516,0.9163827,0.12674862,0.9252409,0.9041284
102,0.92238516,0.91904366,0.18075766,0.92395425,0.90435624
103,0.9202999,0.91711444,0.118282035,0.9261339,0.9055697
104,0.0,0.0,0.0,0.0,0.0
105,0.91780144,0.9171094,0.09855,0.9316058,0.9039674
106,0.920632,0.91762304,0.17372945,0.9275021,0.9036139
107,0.91961753,0.91759086,0.15108077,0.92261744,0.904208
108,0.9207464,0.9170664,0.111561425,0.92372096,0.9054557
109,0.0,0.0,0.0,0.0,0.0
110,0.9218077,0.916986,0.21186212,0.92538697,0.9060284
111,0.92017627,0.9177354,0.15854073,0.92886543,0.90560853
112,0.9202906,0.9170592,0.15951471,0.92477566,0.904679
113,0.919941,0.91728467,0.1136549,0.9257183,0.9061979
114,0.0,0.0,0.0,0.0,0.0
115,0.9217199,0.91719204,0.15766564,0.9241274,0.9057035
116,0.91956705,0.9160217,0.15210041,0.92490315,0.90854144
117,0.9242638,0.9175095,0.14493322,0.9323486,0.9047568
118,0.9192891,0.9187122,0.14578024,0.92836595,0.904546
119,0.0,0.0,0.0,0.0,0.0
120,0.9189678,0.91898334,0.12851444,0.9247659,0.90492713
121,0.9225293,0.91700876,0.17218055,0.9244978,0.9035361
122,0.91795707,0.91699356,0.1667946,0.9235247,0.90838385
123,0.91958547,0.9163026,0.12301584,0.9244734,0.90652114
