,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.91969013,0.9105614,0.16625394,0.92497575,0.9066645
1,0.9174106,0.91100633,0.11939004,0.9285552,0.90951806
2,0.92363226,0.91062427,0.14705184,0.9325448,0.91027975
3,0.92493886,0.910528,0.25931588,0.9239705,0.91078913
4,-1.1460476,0.539603,0.0057826047,-0.16082239,1.5262341
5,0.92398894,0.9097812,0.2542412,0.9275503,0.9102811
6,0.91777855,0.91095,0.11359173,0.93022007,0.91246057
7,0.9169898,0.9105554,0.15374869,0.92615044,0.9127742
8,0.927137,0.9114958,0.37892324,0.9236169,0.9133715
9,-0.7452315,-1.228385,-1.112545,-1.7089124,1.5196649
10,0.92023975,0.91226006,0.12972078,0.92406464,0.9134469
11,0.9237089,0.91019624,0.18388972,0.9263596,0.91315794
12,0.9242916,0.91163015,0.23702447,0.92439395,0.9142658
13,0.92091495,0.9101901,0.1550746,0.9305371,0.91399455
14,0.6739178,0.46153316,-0.039126486,-1.9650593,0.5406112
15,0.92025167,0.9127304,0.209571,0.9257004,0.91595864
16,0.92445093,0.91143465,0.18542199,0.93074566,0.9152765
17,0.9280645,0.9117989,0.30977586,0.92662334,0.915528
18,0.9208396,0.91154724,0.13257843,0.9246678,0.9155098
19,0.6543525,0.4375372,-1.3388842,2.6147175,0.4343232
20,0.920953,0.910694,0.14399283,0.9263255,0.9162259
21,0.9240071,0.91290706,0.287816,0.92508227,0.9169145
22,0.9192086,0.91200876,0.16979574,0.9249705,0.916348
23,0.9183766,0.91096145,0.113264926,0.92538303,0.91647243
24,1.9634995,-0.8138509,0.9011325,-0.028690897,1.2744
25,0.91777146,0.91225904,0.13748533,0.92421573,0.91723514
26,0.9252513,0.91216093,0.1884881,0.930881,0.9172779
27,0.9217121,0.9117908,0.2135278,0.92871153,0.9172302
28,0.92141545,0.9117192,0.20005094,0.9314985,0.9173581
29,0.8240329,0.06258983,0.9193392,1.4573507,-0.3328092
30,0.9245492,0.9129327,0.23849478,0.9268108,0.91813165
31,0.9220879,0.91342825,0.15697846,0.92692375,0.91883427
32,0.9226788,0.9106559,0.15905578,0.9283923,0.91777647
33,0.92554605,0.91190803,0.33973417,0.92965615,0.9186647
34,0.6291874,-1.383776,-0.6922648,1.0338762,1.7130324
35,0.9251736,0.9136312,0.27483818,0.9281868,0.91929036
36,0.9213675,0.9132041,0.1467441,0.9262442,0.91881233
37,0.92477554,0.91275626,0.1748042,0.9265558,0.9190589
38,0.9213708,0.9116789,0.12971611,0.92902833,0.9191002
39,0.81244123,-1.1306423,0.9615995,0.19448085,1.364166
40,0.92595947,0.9124298,0.29585785,0.9270295,0.9190614
41,0.9186997,0.91405725,0.118975066,0.92833894,0.91978043
42,0.9211507,0.91241175,0.17496312,0.925136,0.92000854
43,0.92384446,0.91211784,0.21192005,0.92830783,0.92001575
44,-0.29723367,-1.9543904,0.36933452,-0.29905656,0.78615844
45,0.91991323,0.9143683,0.09606115,0.92628515,0.9204219
46,0.9225958,0.9129273,0.21122774,0.9266903,0.9209368
47,0.92509186,0.9126292,0.24298304,0.92731017,0.9201488
48,0.9251746,0.9125977,0.19370994,0.92638236,0.92029953
49,-0.37643257,-0.38267925,0.10996765,-1.0653198,-1.6993183
50,0.92523694,0.9138977,0.3088574,0.92561007,0.92126435
51,0.9203319,0.91266596,0.1479356,0.926547,0.9201624
52,0.92549384,0.91282904,0.36915708,0.92885405,0.9214197
53,0.9189907,0.91264373,0.13173607,0.9259593,0.9207168
54,0.41310367,-0.014930106,-0.70752573,-0.03465525,0.9011348
55,0.91952384,0.91321707,0.16856773,0.92691314,0.9215995
56,0.9227521,0.9142189,0.22859503,0.92596275,0.9217127
57,0.9283834,0.91373324,0.29021338,0.93192333,0.9218518
58,0.9233676,0.9131396,0.3011013,0.927638,0.9215777
59,0.046486493,-0.8121372,-0.056047186,-0.8204802,0.22030222
60,0.92748475,0.9133966,0.2838802,0.9250384,0.9221144
61,0.9229516,0.91403323,0.23003061,0.9255587,0.9220152
62,0.9193545,0.91340154,0.13611597,0.9265811,0.92200184
63,0.9236739,0.9141679,0.23815031,0.9285279,0.92227685
64,-0.6177022,1.0574012,-0.5815197,0.5544629,-0.8391006
65,0.92261976,0.91196513,0.2286793,0.92925435,0.92200416
66,0.9227041,0.9132262,0.22938564,0.927506,0.92224413
67,0.92383814,0.9150073,0.19846685,0.92582846,0.92319185
68,0.9203331,0.9146622,0.16072693,0.930265,0.92333937
69,-1.2073479,0.16362698,1.3683747,-1.4812479,-0.6102936
70,0.91897345,0.9143296,0.13373992,0.9242731,0.9230768
71,0.92352605,0.91396135,0.19720651,0.9279337,0.9234763
72,0.92072743,0.9135312,0.13916251,0.9263421,0.92274034
73,0.9242994,0.91371495,0.24829343,0.9280737,0.9229278
74,1.7880219,1.2896906,-1.8855826,0.1548567,-1.3945115
75,0.9244902,0.91452056,0.19470966,0.9287041,0.92327315
76,0.9199103,0.9135698,0.14254656,0.92755777,0.92346567
77,0.9246833,0.9139967,0.20578197,0.9313899,0.92323965
78,0.9249222,0.91394526,0.25514564,0.9277903,0.92350054
79,-0.61811906,-0.25942898,0.7459256,0.9385869,0.38506922
80,0.92374605,0.9147649,0.184981,0.92501926,0.9241011
81,0.92466104,0.9139177,0.21448483,0.9261112,0.92381626
82,0.9204648,0.91314864,0.22396801,0.92681867,0.9233893
83,0.9222526,0.91438854,0.17499377,0.9269891,0.924136
84,-0.11694549,-0.7222837,-0.36054525,0.32892036,0.1681338
85,0.9184318,0.9135259,0.097308785,0.93001604,0.923864
86,0.92326605,0.91583496,0.23628357,0.92687166,0.925351
87,0.92128724,0.91300327,0.19804846,0.92778915,0.9241969
88,0.9239728,0.9146718,0.18351868,0.9320368,0.92427367
89,-0.11965529,0.5135915,0.3341155,-0.8043947,-0.21644506
90,0.9205259,0.9135516,0.12840849,0.92978424,0.9244305
91,0.91944915,0.9158133,0.14873745,0.9258125,0.9248711
92,0.92264634,0.9141063,0.1621373,0.92653996,0.9251012
93,0.92383045,0.9142906,0.19249323,0.92450887,0.92452514
94,0.06601963,0.918111,-1.1868488,0.24533433,2.3600595
95,0.9251401,0.91324145,0.25638625,0.9288082,0.9246767
96,0.927295,0.91666365,0.2886163,0.92672133,0.9258432
97,0.92715085,0.91437113,0.28347054,0.93153954,0.92548436
98,0.91861796,0.9142288,0.12021205,0.9257929,0.92493165
99,0.5255837,-0.40878415,-0.3490736,0.44391578,1.3880141
100,0.9197629,0.9156367,0.14009833,0.92692745,0.925932
101,0.9170768,0.9151301,0.12998727,0.92561275,0.9257836
102,0.9290229,0.9140158,0.34642088,0.9304366,0.9252125
103,0.9185732,0.9147246,0.14909634,0.9228514,0.9255646
104,-0.36493406,1.1909654,1.1699076,1.63878,-0.25578085
105,0.92323303,0.9145232,0.22111376,0.9244234,0.9256615
106,0.91903,0.91595894,0.1283958,0.92938393,0.9257701
107,0.92101693,0.9146642,0.15291633,0.92946005,0.9261686
108,0.92324644,0.9142836,0.22627783,0.92737716,0.9261062
109,0.21153547,-1.7558789,0.88015485,-0.23907045,1.4664557
110,0.9272196,0.9142129,0.2704643,0.9289373,0.92583936
111,0.9210697,0.9146414,0.16279845,0.9241519,0.92609596
