,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.92126757,0.9145169,0.12242449,0.9310501,0.91494066
1,0.9232517,0.91313654,0.16274276,0.9312601,0.9155237
2,0.9214419,0.9148205,0.117263824,0.927627,0.9163322
3,0.9240791,0.9145174,0.17189345,0.93326783,0.9154013
4,0.17026533,0.03259024,-0.5203679,-0.8276422,0.7090212
5,0.9220807,0.9146626,0.12923884,0.93344945,0.91546273
6,0.9200536,0.9129939,0.09442986,0.9301015,0.9153574
7,0.9244867,0.9162715,0.18229933,0.92991424,0.91442144
8,0.9213376,0.9155186,0.118153274,0.9320371,0.9153293
9,-1.3323293,1.4542775,1.5621879,-1.044458,-0.048235897
10,0.9231014,0.9159381,0.16072497,0.93038046,0.91474056
11,0.9211599,0.9152617,0.15027007,0.9322086,0.9153861
12,0.9246622,0.9143347,0.18164828,0.93296874,0.91546255
13,0.9231026,0.9155074,0.141357,0.9332548,0.9142469
14,0.19147123,0.5677236,0.7869794,0.08980868,0.3523293
15,0.92113036,0.91701084,0.1408236,0.93440944,0.914359
16,0.92466676,0.91393155,0.16188034,0.93242747,0.91504705
17,0.92194813,0.91402984,0.13986567,0.93361527,0.9157281
18,0.9210766,0.9161423,0.12251511,0.9306451,0.9152561
19,-0.5455418,-0.78105927,1.1137358,-0.32574245,-0.119728185
20,0.92445356,0.9154907,0.15588316,0.9337005,0.9153703
21,0.9214176,0.9150011,0.10186799,0.933615,0.9152934
22,0.9239533,0.9152598,0.16320771,0.9319775,0.91509926
23,0.92254144,0.9162466,0.11500359,0.93123615,0.9163417
24,-1.363253,-1.2487189,-0.5566423,0.6090654,2.1200151
25,0.92255247,0.9165811,0.14528473,0.93354577,0.91407764
26,0.9228615,0.91551715,0.13605686,0.93251914,0.9159038
27,0.92233646,0.9154225,0.12486492,0.93247557,0.91617495
28,0.923426,0.9148822,0.16927147,0.93266255,0.9155271
29,1.3053528,-0.7668773,-0.39665005,1.1315981,0.04660314
30,0.924102,0.91414607,0.1877015,0.9331442,0.9165274
31,0.92256266,0.9156263,0.13907383,0.9350582,0.9152791
32,0.92462903,0.9164253,0.15719636,0.93179655,0.91664296
33,0.92440283,0.9160781,0.15470621,0.93490624,0.91660124
34,0.9434082,0.42248988,0.09492524,-0.83123547,-0.87814677
35,0.9235076,0.91673553,0.13063951,0.9317065,0.91677994
36,0.9249303,0.91492367,0.124721795,0.9334479,0.9166698
37,0.92380404,0.91567457,0.13427925,0.9320094,0.91577387
38,0.92256904,0.91617846,0.1455103,0.9343677,0.9170833
39,1.7806515,0.87556493,-0.39798662,-1.3094778,0.30445963
40,0.9231528,0.917377,0.21537201,0.9312879,0.9164222
41,0.9256301,0.91551775,0.20972794,0.93249637,0.91653275
42,0.9214535,0.91643155,0.11734545,0.93345183,0.91736764
43,0.9253354,0.91565925,0.16947126,0.9326923,0.9168873
44,-0.1500019,0.059452575,-1.0270176,1.0512981,-0.014219771
45,0.9229082,0.91533566,0.14343195,0.93226314,0.9170077
46,0.92169154,0.91752404,0.1379516,0.9357276,0.91835517
47,0.92416793,0.91538864,0.14854933,0.9342535,0.9168917
48,0.92343336,0.9176433,0.17299218,0.9320912,0.9180865
49,0.04660889,-0.37909988,-0.31675932,1.4448099,0.6657944
50,0.9225685,0.9158509,0.16670384,0.9324745,0.91846704
51,0.9236068,0.91549194,0.13065918,0.93340045,0.9173487
52,0.92276764,0.9174324,0.15408333,0.9324604,0.9183094
53,0.9237202,0.91745216,0.15296464,0.9356714,0.9190483
54,1.4629052,-1.227849,-0.10179588,-0.026867768,-1.0946293
55,0.92330134,0.91631037,0.236099,0.93286467,0.9180977
56,0.9237295,0.91666806,0.14755772,0.9344446,0.91837525
57,0.92577523,0.91624004,0.14669925,0.9320768,0.9195645
58,0.9244265,0.91760486,0.14843708,0.93388075,0.91836786
59,0.30048242,-0.8388104,-0.97552884,0.7161748,0.58518285
60,0.9234328,0.91762865,0.11587675,0.9352496,0.9182688
61,0.9249628,0.91679645,0.20739086,0.9342168,0.91885906
62,0.9239059,0.91732603,0.15896095,0.93435305,0.9195951
63,0.922847,0.91593975,0.1390319,0.9356401,0.9190876
64,-1.4074596,-1.5340971,0.25136533,0.0699787,-0.56868446
65,0.9253052,0.91683614,0.17157479,0.9343015,0.9194783
66,0.9228092,0.91634583,0.12445555,0.93434983,0.9197522
67,0.923172,0.9172217,0.12158503,0.9334138,0.9200745
68,0.92547077,0.9168315,0.21877491,0.931716,0.92042905
69,1.1142358,-0.55018544,1.0109468,-0.6275696,-0.5477402
70,0.9271349,0.9162276,0.18602975,0.93411905,0.92033994
71,0.92400837,0.9176867,0.13977414,0.93510175,0.9199994
72,0.92692393,0.9164175,0.23850825,0.9347129,0.9204936
73,0.9225491,0.91663253,0.14444752,0.93342495,0.919683
74,0.6676202,1.055469,-1.4831973,-0.49365503,-1.3577362
75,0.9244538,0.91643524,0.13747455,0.932285,0.91986394
76,0.9216592,0.9179609,0.13082527,0.93309444,0.9205984
77,0.9252976,0.916986,0.21111983,0.93260896,0.92103225
78,0.9246486,0.917901,0.1423257,0.9336592,0.9195376
79,0.47402152,-0.105103604,0.8793657,-0.43227777,0.123227105
80,0.9230173,0.91825056,0.13639314,0.9344141,0.9211475
81,0.9253952,0.9165947,0.18149254,0.9336872,0.9199429
82,0.9235792,0.9183157,0.13292363,0.9347634,0.92081606
83,0.92252886,0.9153371,0.17849438,0.93283695,0.9209485
84,0.59220374,-2.4607513,-0.22959079,-0.6895829,-0.96700037
85,0.92351925,0.9177395,0.11778341,0.93781227,0.9207606
86,0.92457354,0.91702086,0.1844847,0.9327264,0.9215581
87,0.92548645,0.9166007,0.1376404,0.93462855,0.9208045
88,0.9258809,0.9172265,0.1745703,0.93440545,0.921769
89,1.2618927,0.53515565,-1.0802957,0.480276,-0.7824131
90,0.92544043,0.91790533,0.17083824,0.93517244,0.92165923
91,0.92543745,0.91738063,0.15357226,0.9359249,0.9221241
92,0.92524534,0.9174286,0.17602156,0.93462676,0.9218143
93,0.9235121,0.91690266,0.12026084,0.93286085,0.9221194
94,-2.8968623,-0.24453427,0.3229903,0.1927965,1.0341928
95,0.9242979,0.9182384,0.14924452,0.93547297,0.92220914
96,0.922941,0.9184814,0.12137078,0.93290895,0.92146146
97,0.92456365,0.9166158,0.13580708,0.93376905,0.92178637
98,0.92464787,0.9169325,0.13866925,0.9314732,0.9217623
99,-0.4227233,0.4231206,-0.6769613,-0.22657149,1.589833
100,0.92446446,0.9165842,0.15451269,0.93730956,0.92225224
101,0.9251094,0.9182456,0.18007068,0.9351962,0.9217403
102,0.9260921,0.91773754,0.16822593,0.93223643,0.9223718
103,0.9237937,0.9181475,0.14451964,0.93257415,0.9224663
104,-1.9620637,-0.17457727,1.6903327,0.66655606,0.5298448
105,0.92439204,0.9177457,0.14356741,0.93529284,0.92190456
106,0.9254015,0.91769,0.15364662,0.93331695,0.92267907
107,0.92392015,0.91705215,0.14088812,0.9354783,0.9228548
108,0.9254419,0.9180066,0.17187178,0.9354134,0.92279
109,-0.45572957,-2.0194554,-1.1021638,-0.20106298,1.9531032
110,0.9243032,0.91814137,0.15392981,0.93250906,0.9231389
111,0.9245788,0.91790044,0.132698,0.9352982,0.92241764
112,0.9270675,0.9173,0.17615595,0.9339847,0.9230292
113,0.9257483,0.91808563,0.16430107,0.93606824,0.92367774
114,-0.549137,-0.097857974,-2.296094,-0.47986013,0.23537865
115,0.92630845,0.91794425,0.15922804,0.9339904,0.92346114
116,0.9238516,0.91768456,0.14291362,0.9350667,0.92307085
117,0.92541397,0.9178273,0.13633816,0.9330855,0.9231853
118,0.92566705,0.9174733,0.15753257,0.9335972,0.92302066
119,0.7156175,2.432915,0.31670463,2.981744,1.5317466
120,0.9251617,0.9179511,0.13147914,0.9331906,0.92362124
121,0.9265276,0.91791004,0.1951925,0.933802,0.9237129
122,0.9245297,0.91886765,0.16446635,0.9346665,0.9240702
123,0.9263083,0.9169722,0.16821514,0.9329451,0.92303777
