,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.8220218,0.79319334,0.42376688,0.8298503,0.7502024
1,0.838991,0.79332834,0.6007614,0.8412201,0.7551466
2,0.82248485,0.78192884,0.6649959,0.82926893,0.7615411
3,0.8262276,0.79535365,0.6564937,0.8455452,0.7672251
4,0.83144945,0.7905952,0.51755387,0.8475801,0.7701454
5,0.8272394,0.79051375,0.457845,0.8413993,0.7699435
6,0.83674717,0.7942538,0.78655666,0.8413086,0.7755537
7,0.8246159,0.78798765,0.33659375,0.8317344,0.77675825
8,0.8285848,0.79517376,0.35306957,0.84043825,0.77809083
9,0.83120316,0.79458565,0.5497474,0.8401477,0.77977717
10,0.83902615,0.79880905,0.5225005,0.8386583,0.7859322
11,0.8376674,0.7969266,0.5455775,0.8434601,0.7863339
12,0.8429777,0.80990946,0.5992485,0.85974383,0.7895384
13,0.8241327,0.7935935,0.3141131,0.8356702,0.78881764
14,0.8333322,0.80016726,0.43337646,0.8472393,0.79096824
15,0.83233476,0.7918727,0.47412416,0.8421301,0.79147637
16,0.8374667,0.8104947,0.46149692,0.8551193,0.7948708
17,0.0,0.0,0.0,0.0,0.0
18,0.8422858,0.8016185,0.5423651,0.8501755,0.79330593
19,0.8342061,0.79540277,0.49329105,0.8464399,0.79436815
20,0.8307857,0.7949602,0.3984884,0.8440266,0.7942295
21,0.8478927,0.8067291,0.5376919,0.8387145,0.7987682
22,0.82967997,0.8056216,0.61328167,0.83886343,0.8006986
23,0.8443098,0.8139971,0.4161562,0.8516182,0.80172515
24,0.8441496,0.8088247,0.43373936,0.8505603,0.8029877
25,0.84062696,0.8102701,0.5396668,0.8543853,0.8060339
26,0.8423189,0.8012297,0.48024276,0.85584545,0.8049569
27,0.8399624,0.8117466,0.47542408,0.86017835,0.80348486
28,0.83647513,0.8013415,0.4304775,0.84481597,0.8052101
29,0.8498169,0.8087237,0.501778,0.85811263,0.8068972
30,0.84169114,0.81040215,0.30519187,0.85600483,0.8054535
31,0.8404508,0.8117965,0.34191707,0.8541211,0.80881023
32,0.84436744,0.81072366,0.47188732,0.86107546,0.81056476
33,0.83687276,0.82056993,0.31977245,0.85123235,0.8130004
34,0.84095514,0.8010105,0.35876945,0.8565089,0.8099683
35,0.0,0.0,0.0,0.0,0.0
36,0.84061563,0.7999066,0.52704984,0.8519033,0.8105369
37,0.83482856,0.81026703,0.42413145,0.8414824,0.813336
38,0.8423149,0.8087482,0.422857,0.8495537,0.8113803
39,0.85307086,0.817245,0.5303099,0.86480796,0.81295556
40,0.8485897,0.80350447,0.5749353,0.8655976,0.81409633
41,0.8512063,0.81142247,0.7030281,0.8574686,0.81393
42,0.8407025,0.80585265,0.36535496,0.85671085,0.81424576
43,0.8459694,0.82101244,0.43909582,0.8611516,0.81728584
44,0.8407578,0.82036066,0.5484067,0.8567638,0.81597036
45,0.8469524,0.80248827,0.33501306,0.8615034,0.8170891
46,0.8355937,0.80900574,0.53234744,0.8485844,0.8150082
47,0.8494627,0.8117737,0.48183465,0.8562887,0.81853825
48,0.8577836,0.8117881,0.84772766,0.86011237,0.81679726
49,0.8319459,0.81178725,0.30418748,0.85101855,0.81751674
50,0.8571102,0.80331373,0.71837735,0.86889404,0.81883043
51,0.8428986,0.81906325,0.51845556,0.8478334,0.81848454
52,0.8491782,0.8260813,0.42489517,0.8540383,0.82112914
53,0.0,0.0,0.0,0.0,0.0
54,0.85623825,0.82196206,0.69989645,0.85307044,0.81979316
55,0.84337085,0.8134735,0.66717464,0.8552852,0.81907547
56,0.843945,0.8162258,0.5678119,0.85467696,0.82257056
57,0.84746397,0.8215751,0.49460796,0.86093026,0.82111484
58,0.8538729,0.8191894,0.5439234,0.8632471,0.821419
59,0.8437542,0.81626105,0.5134126,0.84941995,0.82335836
60,0.8440835,0.8184581,0.28704718,0.846087,0.82276046
61,0.8409422,0.80911845,0.299382,0.8627699,0.8249757
62,0.84602773,0.8137793,0.443681,0.87000114,0.8237806
63,0.84557796,0.81923586,0.44137636,0.85027784,0.8238872
64,0.8585283,0.80577105,0.53992593,0.8714454,0.8250738
65,0.84693533,0.81651896,0.47606227,0.8517236,0.82509434
66,0.85524756,0.8099429,0.5116366,0.8712009,0.824426
67,0.84079117,0.8080156,0.32499656,0.8468982,0.825693
68,0.8523377,0.81955427,0.5117447,0.8734959,0.8266851
69,0.85738647,0.8224244,0.7039616,0.86670744,0.82700574
70,0.8609587,0.8127009,0.6794116,0.87005943,0.827703
71,0.0,0.0,0.0,0.0,0.0
72,0.8477801,0.8158352,0.50077814,0.86306936,0.82765174
73,0.8526009,0.8166152,0.7073381,0.8576915,0.8254914
74,0.84373796,0.8186115,0.35463658,0.85357624,0.8267415
75,0.84203583,0.81638366,0.36454937,0.8516947,0.82773167
76,0.85303885,0.8227445,0.62835246,0.8646282,0.82881355
77,0.84583956,0.8177028,0.6883564,0.86718863,0.82972604
78,0.8410039,0.8206477,0.5233046,0.8653355,0.8287053
79,0.8503657,0.8164387,0.40513605,0.85502535,0.82980883
80,0.8491282,0.81375974,0.35568348,0.85853666,0.829318
81,0.8438384,0.8181133,0.40608114,0.85786986,0.8312178
82,0.8415108,0.8208794,0.3644357,0.85524505,0.82927406
83,0.8542192,0.8157815,0.4229633,0.8654685,0.8312573
84,0.86226887,0.8120903,0.54903716,0.86707306,0.83211046
85,0.843341,0.8093427,0.29783237,0.8640424,0.8300029
86,0.852766,0.8233122,0.59189093,0.85817724,0.8306613
87,0.8477965,0.82350606,0.4695347,0.853119,0.83312947
88,0.85450125,0.8193141,0.90572405,0.8573227,0.8312478
89,0.0,0.0,0.0,0.0,0.0
90,0.850374,0.8205381,0.8649288,0.8602415,0.8310908
