,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.8118725,0.78503406,0.36183074,0.83226955,0.7504873
1,0.8163277,0.78590685,0.25513563,0.8282046,0.7601355
2,0.8077244,0.78434706,0.26627856,0.83275473,0.76690775
3,0.8077235,0.7844493,0.21610941,0.82903767,0.7713061
4,-0.22334349,-0.4984412,1.2668027,0.06874801,0.32449865
5,0.80879074,0.7847103,0.24358621,0.83182836,0.7752675
6,0.81208104,0.7888369,0.2829104,0.8298503,0.7798561
7,0.81392395,0.7893438,0.27520636,0.83488697,0.78244674
8,0.818051,0.79170257,0.30176276,0.83441496,0.7866229
9,0.16568588,-0.15139514,1.0183847,0.67297256,1.110395
10,0.8146872,0.79162246,0.27184182,0.8358392,0.7883877
11,0.8157841,0.7924851,0.24031024,0.8364411,0.791289
12,0.8156449,0.79430664,0.23424546,0.8452937,0.7932513
13,0.82464087,0.7949024,0.42569196,0.83383787,0.7954829
14,0.95158213,-0.058559313,-0.05696158,0.4245545,0.39315814
15,0.81617045,0.7939996,0.26270694,0.83858776,0.7976868
16,0.81686324,0.795826,0.24003024,0.84261584,0.8001094
17,0.8172374,0.7955292,0.20454906,0.8433587,0.8013867
18,0.8205403,0.79741395,0.2528475,0.84343946,0.80324215
19,0.23434535,0.0,0.035874255,-0.06474012,-0.15478727
20,0.82555,0.797951,0.2732428,0.8392084,0.8044766
21,0.82276154,0.80007803,0.22449549,0.8429808,0.80644333
22,0.8161965,0.7998215,0.17614943,0.8428967,0.8072948
23,0.8156359,0.79976344,0.24504533,0.84962624,0.80930215
24,0.17033938,0.1234314,0.09443357,-0.12277652,-0.07382122
25,0.81191754,0.7976454,0.18356606,0.83882606,0.80979145
26,0.82357717,0.8019835,0.24513915,0.8467321,0.8110571
27,0.8318249,0.80304563,0.33244458,0.8456934,0.81243044
28,0.818104,0.80009216,0.14780587,0.84999317,0.813739
29,0.15758437,0.05942543,-0.42485213,-0.06421721,-0.15479675
30,0.8188788,0.8037759,0.15593171,0.8521095,0.8153068
31,0.830689,0.80210894,0.30882072,0.84605056,0.81521994
32,0.8187079,0.8031773,0.19060737,0.85002327,0.8173262
33,0.82176465,0.8032757,0.16076647,0.83921355,0.8174285
34,0.076608844,0.25878027,0.18034327,-0.58350295,-0.49769875
35,0.82638365,0.8022313,0.24379325,0.85589445,0.8186772
36,0.8293371,0.80576724,0.26936468,0.8461336,0.8199661
37,0.8195204,0.8047321,0.1442283,0.8478593,0.82027274
38,0.8102477,0.8027745,0.15297143,0.8529352,0.8209666
39,-0.26629317,0.0,0.3796981,-0.24685812,0.270366
