,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.803524,0.7965295,0.20811771,0.8225396,0.74692565
1,0.8025425,0.7980139,0.19278033,0.82566553,0.75509804
2,0.8121911,0.7948281,0.36311466,0.82962435,0.760217
3,0.805357,0.7976268,0.22283302,0.82046586,0.76630425
4,0.8212392,0.8186957,0.6059465,0.8043612,-2.029755
5,0.80959904,0.7997414,0.27566576,0.82622963,0.77064514
6,0.80717796,0.8003262,0.156455,0.82428783,0.77513343
7,0.8164409,0.8031743,0.3606161,0.8323595,0.778246
8,0.80915123,0.8028718,0.2417863,0.8347858,0.7818637
9,1.3881247,0.9026048,0.44947487,0.40686578,-2.24717
10,0.8099475,0.80450416,0.17957099,0.83660984,0.78428394
11,0.8162362,0.8069898,0.27168858,0.8276442,0.78661984
12,0.82306796,0.8078773,0.3304535,0.825583,0.7895193
13,0.80987436,0.8063418,0.24013112,0.8341429,0.79147756
14,0.039388597,0.6137207,0.0,-0.41472948,-3.157402
15,0.81423813,0.80750626,0.26405957,0.83837223,0.79404104
16,0.8137768,0.80895406,0.22090524,0.8314154,0.79474515
17,0.82983536,0.80745894,0.46221754,0.84105176,0.79653674
18,0.82513416,0.80921906,0.30098784,0.84529704,0.7987869
19,0.8212713,0.1555475,-0.34554055,0.49718052,-6.1792374
20,0.81447417,0.8103961,0.1976397,0.83811307,0.8004132
21,0.8257707,0.80917424,0.40145305,0.8463653,0.801743
22,0.8136443,0.8112358,0.17396136,0.8371518,0.8020233
23,0.8082765,0.8121551,0.13069458,0.83891684,0.8038641
24,1.4478424,1.7010607,-0.09169305,-0.21644415,0.55619675
25,0.8336209,0.81207085,0.5456522,0.8451081,0.8047381
26,0.8248586,0.81335217,0.23890808,0.83954376,0.8061945
27,0.8141735,0.8103688,0.2705434,0.83970505,0.80728054
28,0.83074623,0.8121268,0.41465065,0.84598947,0.8085342
29,1.6178005,0.20433736,-0.18163611,-0.22007452,1.1967442
30,0.829074,0.81519336,0.3186546,0.84245884,0.8093971
31,0.831133,0.8130455,0.34402165,0.8341501,0.81041837
32,0.8162837,0.8130242,0.17410034,0.84009576,0.81206715
33,0.82357955,0.81567085,0.24807692,0.8380705,0.8129989
34,1.7337743,1.2495785,0.18928501,0.20254564,0.43213722
35,0.83279103,0.81593126,0.39103946,0.84141034,0.81338006
36,0.81619585,0.81498307,0.14862408,0.84514135,0.8146979
37,0.8338243,0.8148118,0.35840294,0.85198516,0.8149351
38,0.8184678,0.8148281,0.22274321,0.83748597,0.81543714
39,0.0,-0.27553427,1.9021903,-0.05254144,0.3025093
40,0.8247,0.8161924,0.20314668,0.85038656,0.81712914
41,0.8309404,0.8163927,0.2992971,0.84449714,0.8173982
42,0.8239195,0.8147496,0.25461918,0.84667075,0.81827044
43,0.8216452,0.8149442,0.14990883,0.837076,0.81850165
44,-0.3414211,-0.18272986,0.3940085,-0.5869302,0.7318908
45,0.83407426,0.81517303,0.40819126,0.83900833,0.8191006
46,0.8360766,0.8172761,0.33786234,0.8450982,0.8202725
47,0.8277951,0.8179741,0.24229135,0.8539196,0.8210094
48,0.8335071,0.8179435,0.3400012,0.8380332,0.8209403
49,-0.42872357,0.277556,-1.2150254,-0.03301745,0.11941461
50,0.82274216,0.81540287,0.19281727,0.8316618,0.8219715
51,0.8335408,0.8174124,0.48818716,0.84723854,0.822852
52,0.83643174,0.8182886,0.32277435,0.8398219,0.8245554
53,0.83404034,0.8185427,0.42123216,0.8525804,0.82428247
54,-0.44013214,0.18814003,0.89571,0.0,0.25637126
55,0.84060353,0.8188375,0.51380295,0.852165,0.82503945
56,0.8280632,0.8167354,0.2557154,0.8391593,0.8255762
57,0.8344241,0.8185084,0.30993965,0.85371846,0.8258939
58,0.83740085,0.81776106,0.31577265,0.84233624,0.82591885
59,0.032761246,1.2146813,0.29553357,-0.10857916,0.18063341
60,0.8200642,0.8181719,0.21343961,0.8456611,0.8261935
61,0.8348509,0.81695145,0.34672868,0.85009766,0.82743496
62,0.8417279,0.818215,0.4677534,0.8429629,0.82822996
63,0.8415054,0.821643,0.437963,0.86425954,0.8290854
64,1.7015117,-1.0323439,-0.84967816,0.52538216,0.6415583
65,0.82521576,0.81888056,0.20045952,0.83942324,0.8280946
66,0.8319365,0.8220589,0.33417392,0.84814405,0.8287149
67,0.8310081,0.81924725,0.20053989,0.8321348,0.83094597
68,0.8366559,0.81998837,0.35946992,0.84620756,0.82969403
69,2.6474483,0.53271013,0.2501133,0.6345396,-1.9081837
70,0.84606826,0.8220344,0.5954089,0.84355766,0.8309443
71,0.83756596,0.81988585,0.3752036,0.84360003,0.8308508
72,0.8302094,0.8179156,0.3205179,0.84641737,0.8311182
73,0.8286478,0.8189645,0.2174791,0.8509922,0.83267903
74,2.5883553,0.84161806,0.23030475,1.3833672,0.5237434
75,0.82992536,0.8200166,0.16836458,0.84121364,0.8323261
76,0.8483772,0.8212807,0.7333732,0.8516634,0.83415204
77,0.8356271,0.819448,0.30785415,0.8372942,0.8333372
78,0.843899,0.8216888,0.53515863,0.84873116,0.83349687
79,1.5933694,0.0,-0.18895708,-0.46298543,4.052253
80,0.8282434,0.8204026,0.19561507,0.8518427,0.8336282
81,0.83619225,0.82098603,0.27709407,0.84786505,0.8351823
82,0.82608026,0.821671,0.2514883,0.85937625,0.8350378
83,0.833419,0.82008404,0.2203965,0.8455501,0.8353268
84,-0.054442085,-1.3363397,-0.6085372,0.11187124,-1.1216958
85,0.81900877,0.8205798,0.1646689,0.84942263,0.83468825
86,0.84042895,0.8211785,0.42063725,0.85227704,0.8361607
87,0.83794767,0.82277566,0.2734889,0.8515362,0.8362196
88,0.8526025,0.82255834,0.7999128,0.8475059,0.83727044
89,-0.48151034,-0.59542775,-0.43510032,-0.26039204,-1.4686863
90,0.83045906,0.8191936,0.23863791,0.8524812,0.83780676
91,0.82836896,0.8216191,0.30482513,0.8471861,0.8375887
92,0.84015346,0.8216642,0.3207826,0.84216285,0.8371775
93,0.83729196,0.82154125,0.34594783,0.8550737,0.8386321
94,1.047661,-0.73807263,0.47680968,-0.01749076,0.06118862
95,0.82587135,0.82022226,0.17996871,0.8430156,0.83781296
96,0.83900136,0.8226969,0.3010005,0.85567766,0.83936745
97,0.8459133,0.82407033,0.40925306,0.8584315,0.8388635
98,0.8308563,0.82143044,0.25367734,0.8539626,0.8394075
99,0.27243477,-0.7141488,0.8709109,-0.13070002,-2.1785605
100,0.8432242,0.823696,0.44745123,0.83809596,0.839471
101,0.8332108,0.82195044,0.26500115,0.84351915,0.8399389
102,0.8299724,0.8198194,0.20037442,0.83523136,0.8409237
103,0.8389847,0.82318056,0.32811022,0.85668844,0.8417159
104,0.49341708,1.7680662,0.013180661,-0.07745601,0.0
105,0.82589376,0.82176656,0.19008939,0.84308887,0.8405968
106,0.84289557,0.8225341,0.36531803,0.85883087,0.84132594
107,0.83231646,0.8230661,0.20273271,0.8523105,0.84150296
108,0.83366585,0.82234854,0.21745174,0.8533394,0.84241855
109,1.4436047,0.13777244,-1.1948832,-0.21335673,-0.8578472
110,0.840954,0.8240343,0.26031265,0.8487718,0.84215426
111,0.83411354,0.8211418,0.24628222,0.84911567,0.8425439
112,0.8399567,0.8225968,0.3675507,0.8422682,0.84327656
113,0.8378615,0.8231261,0.33859897,0.8602374,0.8435401
114,-1.1886352,1.1303301,-0.45710647,-0.31902862,-1.1243544
115,0.83642036,0.8228906,0.30172163,0.85586715,0.84363467
116,0.8355557,0.82369345,0.2853598,0.84721017,0.84416556
117,0.83496433,0.8212836,0.23003264,0.85790443,0.84457344
118,0.84171146,0.82374626,0.3845729,0.8502595,0.8434941
119,-0.81730485,-0.5198827,0.0,-0.7359329,-0.84535843
120,0.84262985,0.82346547,0.29130495,0.8576586,0.84423244
121,0.8331451,0.8211714,0.17175938,0.85294026,0.84448016
122,0.8434769,0.8245408,0.36189085,0.85921437,0.84624213
123,0.83245987,0.82338077,0.3027856,0.85455567,0.84519225
