,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.80433893,0.7729879,0.19627352,0.8244004,0.7561305
1,0.81735486,0.77513474,0.35814658,0.82552135,0.76432043
2,0.8171873,0.77959603,0.3584408,0.8325937,0.76967305
3,0.8252246,0.7850626,0.55194145,0.83050895,0.774705
4,2.2907598,0.86866957,0.93857723,4.234185,2.9056392
5,0.81436247,0.77709967,0.310159,0.83399385,0.7786982
6,0.822498,0.78044116,0.3208256,0.8241334,0.78114307
7,0.81604755,0.78140515,0.28796628,0.8292235,0.78412086
8,0.816394,0.7824228,0.24851856,0.8460523,0.78692394
9,1.1021485,0.99406594,0.7312149,2.5509958,0.93561375
10,0.82012796,0.7795268,0.27717718,0.82950157,0.78941
11,0.8243481,0.786266,0.31790558,0.8300391,0.79178774
12,0.8201737,0.7834167,0.2732203,0.8363981,0.79364115
13,0.8224649,0.7865859,0.28546035,0.842684,0.79601574
14,1.7013676,0.88670784,0.0,0.77513146,1.8450313
15,0.82744163,0.790223,0.3110835,0.85065424,0.79734445
16,0.83084786,0.7838702,0.5349642,0.8393168,0.79960674
17,0.8274052,0.7860512,0.2744559,0.8352989,0.79995173
18,0.83125067,0.7903531,0.3856284,0.8342387,0.8027741
19,0.30165637,0.8183291,2.8606606,0.25522643,1.1440455
20,0.8257401,0.7898412,0.3729035,0.84512913,0.8033344
21,0.8296779,0.79441833,0.34031755,0.83406234,0.8056292
22,0.8278803,0.7935647,0.2579908,0.8409089,0.8056885
23,0.8262212,0.7774971,0.3965165,0.8390062,0.8068622
24,0.18461406,1.2974651,-0.6419703,-0.9203074,1.8867493
25,0.83490413,0.7878876,0.51495546,0.8421251,0.80914
26,0.820855,0.77951133,0.2659171,0.83934605,0.8097476
27,0.83183485,0.781739,0.39996076,0.83681774,0.81006354
28,0.83706176,0.7919656,0.53324056,0.84189385,0.810821
29,0.51230335,-4.0587697,3.1675658,0.3896828,1.545823
30,0.8228526,0.7858011,0.20439804,0.8359847,0.811937
31,0.83939034,0.787609,0.44518968,0.8545807,0.8143437
32,0.8210165,0.78162163,0.22235647,0.846618,0.81352943
33,0.8383165,0.7972181,0.4315567,0.8414857,0.81421053
34,1.1641889,1.2258502,-0.38846433,0.5791708,1.0855099
35,0.8329402,0.7863305,0.29971316,0.8502834,0.81548303
36,0.8328632,0.78574973,0.28582156,0.843989,0.8172039
37,0.83565193,0.7865616,0.34203914,0.8456033,0.8169267
38,0.83622193,0.7887125,0.47622123,0.85126954,0.8176605
39,0.0,0.6493702,0.047192156,0.7587163,0.18716037
40,0.83203226,0.7880001,0.31321937,0.84906024,0.818546
41,0.8411342,0.797717,0.41377795,0.8560363,0.81999755
42,0.8235147,0.7950792,0.23275897,0.83828807,0.8199277
43,0.83232,0.7882912,0.29928955,0.8470572,0.8207082
44,-0.30363035,1.3193781,2.1128054,2.733593,3.8225431
45,0.83950335,0.7877383,0.48448604,0.8476858,0.8208869
46,0.83302367,0.7936836,0.2890112,0.8537471,0.8216732
47,0.83342534,0.7990763,0.3193103,0.84400403,0.8235704
48,0.8393857,0.7888763,0.41887942,0.84435415,0.8234174
49,1.302767,1.5615262,0.34098315,1.4358282,-0.13183796
50,0.8292188,0.7903406,0.21289702,0.8491539,0.8241966
51,0.83667576,0.79729325,0.3837175,0.8514505,0.8245588
52,0.8328863,0.79577976,0.385466,0.8444226,0.8247831
53,0.8411636,0.7912315,0.4040242,0.8525277,0.8252454
54,-0.08589625,1.0858656,0.99804467,0.0,1.9446541
55,0.8346619,0.7968542,0.34521073,0.8437717,0.8255584
56,0.83629435,0.78725046,0.43671802,0.8530248,0.82692045
57,0.83791625,0.79070014,0.29777166,0.849781,0.8269834
58,0.83556974,0.78905153,0.29878157,0.8431141,0.82702714
59,0.7579315,2.013611,1.5164349,2.190081,1.3803544
60,0.84332913,0.788269,0.43118358,0.85657835,0.8282212
61,0.84280986,0.7932831,0.51108193,0.85051364,0.82814956
62,0.8296782,0.800777,0.21130067,0.8544966,0.8290009
63,0.83509976,0.78983086,0.24292338,0.857567,0.8288859
64,3.3636527,2.9861171,0.46524897,1.8546501,1.5082163
65,0.8359337,0.792878,0.37698832,0.8512477,0.8293021
66,0.8334099,0.8060272,0.30805627,0.8479247,0.8308836
67,0.8399753,0.791096,0.36641517,0.84320897,0.8301133
68,0.83655053,0.79290026,0.25377965,0.8552767,0.8311284
69,0.6739534,1.1360496,1.23013,0.62888265,1.7340114
70,0.83966476,0.79370177,0.4406695,0.84665585,0.83080965
71,0.83175033,0.79506075,0.39606348,0.85569316,0.83108556
72,0.8457098,0.8106747,0.36746114,0.85786885,0.8326213
73,0.8431975,0.7905167,0.39138702,0.8475917,0.83348095
74,0.87037766,0.52530944,1.0369182,2.1964493,-0.19020265
75,0.8418688,0.8012946,0.3765291,0.8527005,0.8326771
76,0.84209925,0.79297984,0.38426566,0.8471785,0.83321846
77,0.84311056,0.7911636,0.45801598,0.85360855,0.8337692
78,0.8371261,0.79294986,0.23004353,0.8587753,0.83407664
79,2.9595356,0.0,1.2584133,0.9316838,0.20474893
80,0.82537407,0.7970648,0.20195886,0.8427181,0.8343181
81,0.84045804,0.7988142,0.24650796,0.8574019,0.833682
82,0.8363239,0.8108067,0.28121704,0.85574204,0.8355397
83,0.84747136,0.80006856,0.5378716,0.84647316,0.8356406
84,0.20440304,-0.21630782,1.6846436,0.44528657,1.2835654
85,0.8409039,0.79290605,0.4158795,0.8481048,0.8352663
86,0.83357626,0.79191923,0.22783698,0.8479354,0.8352734
87,0.8488994,0.80670977,0.5513805,0.854632,0.8378868
88,0.8378587,0.79217565,0.34022996,0.85600525,0.8368705
89,0.52630717,0.09779996,2.379415,0.93236506,1.1560202
90,0.84124094,0.7940632,0.37127656,0.86054146,0.83608437
91,0.83337134,0.80355066,0.17649001,0.8448707,0.8375245
92,0.8310221,0.79487103,0.21841846,0.85731596,0.8375041
93,0.8515745,0.801215,0.64431304,0.8515323,0.8380082
94,1.2843473,0.9198022,-0.14738834,1.506635,0.88080233
95,0.8467658,0.79656094,0.46955344,0.8524437,0.8378237
96,0.83657014,0.79249334,0.36302507,0.8496505,0.83790976
97,0.8400649,0.808893,0.31092322,0.84947973,0.8379113
98,0.8404934,0.7975176,0.2158228,0.8534207,0.8399421
99,1.1325309,0.8481077,1.1409149,0.4481278,1.1453781
100,0.8385998,0.79319656,0.2979374,0.84969074,0.83804226
101,0.83556616,0.8146641,0.19251812,0.854179,0.84058934
102,0.8437025,0.79925054,0.41331223,0.8591391,0.84102565
103,0.8500878,0.79903656,0.6048759,0.8577618,0.83913326
104,1.3968191,0.7484975,1.4794378,1.3856075,0.0
105,0.84872293,0.79804456,0.4368604,0.85379225,0.83937436
106,0.83921915,0.8071366,0.1972462,0.8461552,0.8397753
107,0.8414098,0.804114,0.30191508,0.8550616,0.8420299
108,0.845652,0.79900837,0.3886205,0.85638934,0.841697
109,2.0767703,0.7522159,2.7054846,1.2525878,1.1269938
110,0.8405904,0.8009218,0.27978972,0.86027545,0.8416821
111,0.84425265,0.7974806,0.3491336,0.85713947,0.8411685
112,0.84472525,0.7897363,0.5723523,0.85881513,0.84212524
113,0.8418027,0.8118623,0.28891325,0.8615098,0.84252757
114,1.4741302,0.8090571,1.4960954,0.4939436,1.3124585
115,0.8502602,0.7969342,0.5011251,0.84913146,0.8416459
116,0.8381951,0.80681664,0.3086221,0.8507092,0.84346646
117,0.8516137,0.8051364,0.47608942,0.8599781,0.8426422
118,0.837951,0.8161148,0.258927,0.8534724,0.8435996
119,-0.45010912,1.5083978,0.0,0.14950699,1.6737356
120,0.84816146,0.8057564,0.41308156,0.85941756,0.8434561
121,0.8444124,0.80303407,0.32860258,0.8611632,0.8436591
122,0.83948886,0.80024284,0.26625633,0.85558426,0.84371006
123,0.8468821,0.8011022,0.41698104,0.85584587,0.84444225
