,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.48830304,0.43767092,0.20104162,0.52185726,0.0
1,0.4881612,0.42538202,0.26035544,0.5550323,0.0
2,0.49373594,0.428205,0.19793765,0.57524544,0.0
3,0.47878098,0.4356218,0.16964893,0.56194305,0.0
4,0.48813036,0.43262267,0.23092419,0.53273034,0.0
5,0.48129418,0.4295358,0.21419817,0.5067798,0.0
6,0.49565062,0.430634,0.23514576,0.5407325,0.0
7,0.49609786,0.42790118,0.24104893,0.5262388,0.0
8,0.051272772,-0.028910866,0.07207693,0.06519041,0.05375832
9,0.4817089,0.4310783,0.20977409,0.51738566,0.0
10,0.47238594,0.42790607,0.16274591,0.49389973,0.0
11,0.46963656,0.4268955,0.17042041,0.5414139,0.0
12,0.48304537,0.42959702,0.1850575,0.5369918,0.0
13,0.48137304,0.42652518,0.18233053,0.5326123,0.0
14,0.48141152,0.43074754,0.2374746,0.53429836,0.0
15,0.46628764,0.43073687,0.1554604,0.5463864,0.0
16,0.48946035,0.42724603,0.17568886,0.53801656,0.0
17,0.05289308,-0.009392854,-0.113074325,0.08700264,-0.069489755
18,0.49537635,0.42749837,0.260311,0.53939044,0.0
19,0.48128513,0.42847654,0.16920274,0.5342901,0.0
20,0.4869961,0.42846367,0.21018972,0.54199517,0.0
21,0.483619,0.43103608,0.18831414,0.51119894,0.0
22,0.49965706,0.4266432,0.23414697,0.5338171,0.0
23,0.48993787,0.42757276,0.21054181,0.51815104,0.0
24,0.4661944,0.43103063,0.13787133,0.5203922,0.0
25,0.4716145,0.4288305,0.16341282,0.52163917,0.0
26,-0.07529795,0.06360727,-0.051774535,0.091760695,-0.03176172
27,0.495645,0.42724702,0.2337177,0.54645765,0.0
28,0.4708928,0.42391458,0.15613571,0.5056563,0.0
29,0.4855002,0.43156824,0.18571517,0.54206777,0.0
30,0.48355943,0.43008718,0.23773971,0.5144427,0.0
31,0.4830197,0.4262182,0.14049223,0.55096334,0.0
32,0.50931364,0.4265287,0.32504347,0.57202274,0.0
33,0.49571535,0.4273729,0.23056719,0.50701463,0.0
34,0.49287966,0.4318355,0.2377333,0.5301898,0.0
35,-0.04058328,0.0005946025,-0.013804347,0.10223317,0.07086463
36,0.48254648,0.43193328,0.19482933,0.5330076,0.0
