,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.5847594,1.5683023,1.6117404,0.5185149,0.0
1,0.52161485,1.5393293,0.5600824,0.4915317,0.0
2,0.5534967,1.5358241,0.88489884,0.5616888,0.0
3,0.5683201,1.6071377,1.3613877,0.5283747,0.0
4,0.61855274,1.6381886,2.2984188,0.63967067,0.0
5,0.5989683,1.4821515,1.4854155,0.55388045,0.0
6,0.5556153,1.5433452,0.8425162,0.5596572,0.0
7,0.5969391,1.5593859,1.5618274,0.6459467,0.0
8,0.014378656,-0.0067068976,0.0037221115,0.005127121,0.0021888607
9,0.5974977,1.5283349,1.9279956,0.7191183,0.0
10,0.6613889,1.4792321,3.9681804,0.78230745,0.0
11,0.6026765,1.5910318,1.819588,0.6250374,0.0
12,0.56676763,1.5516527,1.2769471,0.5753093,0.0
13,0.5748233,1.5258336,1.2226701,0.45879468,0.0
14,0.57645464,1.5854555,1.3669667,0.6776439,0.0
15,0.59164685,1.636331,1.6743076,0.6240604,0.0
16,0.57599586,1.629671,1.2849756,0.6129392,0.0
17,-0.0010165478,0.011849275,-0.0029051593,0.009180303,0.003976618
18,0.5240267,1.4929378,0.68682504,0.5037122,0.0
19,0.5475666,1.5844324,0.9056279,0.515568,0.0
20,0.6578471,1.6259722,3.9229012,0.6861635,0.0
21,0.5874638,1.5531257,1.669864,0.574456,0.0
22,0.59026915,1.5741054,1.5589553,0.58334225,0.0
23,0.55696267,1.6008674,0.9429757,0.5497351,0.0
24,0.600127,1.5707303,1.5024773,0.6511736,0.0
25,0.6085655,1.7137069,2.18797,0.5891405,0.0
26,0.005917377,-0.000410128,0.0031807767,0.009754856,0.001215558
27,0.5880741,1.5388438,1.584341,0.566564,0.0
28,0.60779214,1.5231602,2.2312953,0.5895815,0.0
29,0.6143485,1.6368775,1.9921758,0.5134773,0.0
30,0.6050876,1.5390964,1.7794003,0.58029795,0.0
31,0.5926798,1.5051793,1.8568709,0.57053137,0.0
32,0.538582,1.4829476,0.78540176,0.49110407,0.0
33,0.60923725,1.5417038,1.8030682,0.68452775,0.0
34,0.611029,1.5388979,2.058497,0.67191064,0.0
35,0.0026325742,-0.0006518592,-0.002819389,3.2429607e-06,7.6256634e-05
36,0.6060077,1.5589241,1.6851978,0.6105795,0.0
37,0.60497767,1.5649188,1.9742562,0.55976903,0.0
38,0.5942755,1.5183104,1.7139047,0.6220852,0.0
39,0.56931996,1.4675763,1.2448959,0.4777553,0.0
40,0.5900162,1.5553967,1.4235058,0.56372344,0.0
41,0.62793195,1.5853524,2.7253494,0.5873031,0.0
42,0.6720554,1.5477601,3.9996116,0.5845889,0.0
43,0.5621637,1.5032738,1.2319356,0.5608638,0.0
44,0.0040585366,0.0047437446,0.007696319,0.00030184508,0.011651094
45,0.6029501,1.6077485,1.5892621,0.5633633,0.0
46,0.6231154,1.5371842,2.6778433,0.69827753,0.0
47,0.593006,1.6112667,1.5988513,0.584109,0.0
48,0.5632521,1.4703597,1.1953341,0.56227785,0.0
49,0.5145831,1.5852773,0.5903507,0.47309044,0.0
50,0.6019723,1.6115762,1.6391419,0.5528431,0.0
51,0.54252446,1.5071629,0.8060345,0.5001667,0.0
52,0.563289,1.5695025,1.0637513,0.5266936,0.0
53,0.001254705,-0.014235418,0.017305193,0.0007635623,-0.0016111712
54,0.56794983,1.6303678,1.2197895,0.58292884,0.0
55,0.5405673,1.6156132,0.7537858,0.49666065,0.0
56,0.57792234,1.4927808,1.378045,0.6023353,0.0
57,0.5680793,1.6215912,1.2711885,0.53648907,0.0
58,0.55417156,1.5481842,0.8342483,0.55753523,0.0
59,0.5872821,1.4848645,1.5515932,0.5778137,0.0
60,0.5765058,1.6472168,1.355397,0.6009401,0.0
61,0.579853,1.5674998,1.3622165,0.58157915,0.0
62,0.0039199847,-0.00022162835,-0.00073523563,0.047448736,0.008549367
63,0.56604743,1.54189,1.1173611,0.5589982,0.0
64,0.62926495,1.5314449,2.4902337,0.6250853,0.0
65,0.58833385,1.5884755,1.6881206,0.5885438,0.0
