,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.6289409,2.2100463,2.14839,0.7187996,0.0
1,0.57664984,2.3581417,1.3661231,0.522367,0.0
2,0.57144976,2.3732224,1.5323905,0.58919096,0.0
3,0.6017053,2.299691,1.7173175,0.5752388,0.0
4,0.60811484,2.3288145,2.248744,0.7004461,0.0
5,0.5341703,2.3307848,0.69222105,0.5363527,0.0
6,0.5642947,2.3103206,1.0685906,0.56785095,0.0
7,0.5913913,2.2581449,1.7435995,0.55116504,0.0
8,0.02894519,0.057877485,0.00012240082,0.0002264683,0.0063388865
9,0.53052235,2.3464994,0.54661936,0.5561608,0.0
10,0.5437789,2.2996604,0.8338251,0.5263339,0.0
11,0.58263296,2.2748222,1.2881402,0.51403403,0.0
12,0.61915636,2.3687458,2.6844158,0.5462559,0.0
13,0.5916956,2.379335,1.6027877,0.6029921,0.0
14,0.59457564,2.3356345,1.550312,0.66436434,0.0
15,0.5945,2.3574114,1.6376586,0.5357314,0.0
16,0.54992324,2.3454564,0.77141696,0.47444212,0.0
17,0.10469158,0.021538228,0.0003477907,0.00017248768,0.06540197
18,0.52591026,2.4049428,0.557339,0.5697766,0.0
19,0.60100603,2.37628,1.523353,0.5415422,0.0
20,0.63361806,2.2920113,2.8423128,0.5643158,0.0
21,0.51722294,2.401036,0.4889961,0.5082673,0.0
22,0.5338658,2.2829967,0.6885263,0.5024726,0.0
23,0.5256935,2.3413837,0.600274,0.4725375,0.0
24,0.5207882,2.2134793,0.5475657,0.44651413,0.0
25,0.55645335,2.316007,1.0560737,0.5703431,0.0
26,0.023057865,0.1586534,0.002476617,0.00028429038,0.01753402
27,0.5227576,2.360686,0.58436584,0.5870613,0.0
28,0.52036583,2.4557722,0.58912134,0.47399077,0.0
29,0.51447606,2.3022428,0.5326409,0.49629363,0.0
30,0.5686039,2.4727333,1.1869099,0.5980142,0.0
31,0.5824208,2.1857038,1.2046872,0.5473255,0.0
32,0.49730095,2.4133766,0.3565556,0.45098722,0.0
33,0.56496567,2.3468657,1.0670401,0.54740244,0.0
34,0.59100276,2.4160776,1.3145807,0.44071457,0.0
35,0.06729141,0.049039904,0.017836576,0.44453973,0.052121546
36,0.54999715,2.3982913,0.800743,0.5485218,0.0
37,0.5895085,2.3195152,1.3342468,0.55066764,0.0
38,0.57482517,2.3176553,1.0653801,0.5649293,0.0
39,0.6040193,2.3585994,1.9511439,0.62716603,0.0
40,0.54163766,2.3169765,0.8060235,0.50006056,0.0
41,0.6229964,2.205093,2.2843578,0.630331,0.0
42,0.503683,2.3390694,0.44924977,0.43706843,0.0
43,0.5908841,2.433783,2.119769,0.6969483,0.0
44,0.17852071,0.6528172,0.06622251,0.5064346,0.1289349
45,0.5432478,2.2373765,0.81238973,0.5384935,0.0
46,0.519993,2.349806,0.49789265,0.45120114,0.0
47,0.5501045,2.3016005,0.83107567,0.50557905,0.0
48,0.5650317,2.2677658,0.9814219,0.5377413,0.0
49,0.57109934,2.39071,1.1968309,0.52417564,0.0
50,0.6078343,2.305534,1.7171775,0.5588393,0.0
51,0.5485185,2.2834797,0.8777562,0.53219676,0.0
52,0.57249856,2.3213975,1.1390882,0.60040224,0.0
53,0.040666256,0.1483992,0.10517393,2.5413768,0.016938115
54,0.64490986,2.2941887,3.5257685,0.62204903,0.0
55,0.5303577,2.380047,0.7478641,0.47872216,0.0
56,0.5638808,2.4665828,1.0100101,0.5329057,0.0
57,0.58772135,2.2767754,1.6584421,0.61638427,0.0
58,0.5818965,2.3902597,1.2630155,0.513776,0.0
59,0.5747653,2.2744524,1.0309328,0.56207263,0.0
60,0.6174858,2.435234,2.0197837,0.58381826,0.0
61,0.5711025,2.3089252,1.2148494,0.53097445,0.0
62,0.0067721503,0.87059206,0.27929157,0.39108318,0.068236075
63,0.5468982,2.3286335,0.81666064,0.5049986,0.0
64,0.5471016,2.4390707,0.8300628,0.50846213,0.0
65,0.6570154,2.31472,3.398286,0.7780164,0.0
66,0.59811795,2.3240764,1.6615906,0.5657201,0.0
67,0.6486837,2.3020267,3.3325,0.66202533,0.0
68,0.61220944,2.2701957,2.1309392,0.6467027,0.0
69,0.5677023,2.3540764,1.0321133,0.5669011,0.0
70,0.5555398,2.3085105,0.87140155,0.477511,0.0
71,0.00065082754,0.020140382,0.29791397,0.5569509,0.0017520577
72,0.5596734,2.3103163,1.0408126,0.62032187,0.0
73,0.5288655,2.42874,0.6413026,0.50128585,0.0
74,0.55099195,2.3650908,0.8643884,0.47013962,0.0
75,0.6122528,2.3363965,2.0486526,0.61420757,0.0
76,0.5148487,2.3000152,0.47216624,0.5273261,0.0
77,0.5364502,2.4443145,0.7441209,0.5596228,0.0
78,0.5552969,2.2469738,0.9186421,0.56198025,0.0
79,0.5314624,2.3672004,0.8078782,0.49824458,0.0
80,0.00017955269,0.34823036,0.06736402,1.2156578,0.00094302476
81,0.60896176,2.3547819,1.9101722,0.570847,0.0
82,0.60866094,2.3090994,1.7956821,0.7589994,0.0
83,0.6340632,2.3710718,3.2076955,0.6443004,0.0
84,0.630523,2.3222854,2.6346223,0.62753296,0.0
85,0.55212456,2.2756302,1.020221,0.53301,0.0
86,0.5416121,2.2778213,0.7876368,0.5392609,0.0
87,0.59497195,2.3116422,1.6324149,0.634666,0.0
88,0.58068955,2.29821,1.2499444,0.5874167,0.0
89,0.006281357,0.003609793,0.4013246,0.33286485,0.004409244
90,0.5753446,2.4333537,1.1652926,0.5763971,0.0
91,0.6487003,2.341974,3.1252952,0.59275156,0.0
92,0.56962746,2.3509228,0.9800311,0.5994617,0.0
93,0.5967305,2.429582,1.6705148,0.61684227,0.0
94,0.56731427,2.374119,1.1173624,0.5568129,0.0
95,0.5343994,2.3476787,0.6806358,0.4634511,0.0
96,0.5376135,2.293801,0.7783609,0.44204256,0.0
97,0.6097512,2.2495813,1.6221868,0.625819,0.0
98,0.0038121743,0.011263332,0.1427168,0.7507603,0.0004774589
99,0.6511404,2.3745284,2.490615,0.7004729,0.0
100,0.58715826,2.3513434,1.6318886,0.6177165,0.0
101,0.54062486,2.3670096,0.70349336,0.5563011,0.0
102,0.513933,2.336476,0.5889077,0.4955373,0.0
103,0.51338065,2.4033945,0.5245354,0.48994085,0.0
104,0.5123956,2.3237975,0.4510838,0.45212296,0.0
105,0.5454034,2.3651867,0.82589024,0.47543254,0.0
106,0.56140655,2.3464186,0.86107147,0.6073299,0.0
107,0.03989004,0.032396372,0.18220878,0.6770144,0.02407302
