,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.5539717,1.4703617,1.0228355,0.51065356,0.0
1,0.58077955,1.4856673,1.5349,0.62428343,0.0
2,0.5912404,1.4466629,1.696574,0.66108304,0.0
3,0.5329224,1.4746159,0.8011367,0.6590228,0.0
4,0.5401545,1.4832056,0.8697641,0.5996991,0.0
5,0.57272226,1.4280779,1.5197313,0.62118036,0.0
6,0.5302613,1.4554356,0.76354724,0.4573227,0.0
7,0.60305464,1.3901157,1.704113,0.62035793,0.0
8,0.17570248,0.0018714019,5.9965023e-05,9.953261e-05,0.11598985
9,0.6200209,1.5505109,2.189449,0.62222075,0.0
10,0.5459117,1.4876521,0.74928,0.5094854,0.0
11,0.56018424,1.4905913,1.1590695,0.5870591,0.0
12,0.58207047,1.5208919,1.7306914,0.54484034,0.0
13,0.58388114,1.4234253,1.5224986,0.6010475,0.0
14,0.5720816,1.3902599,1.1582116,0.48260072,0.0
15,0.5200599,1.3926805,0.60337824,0.49637777,0.0
16,0.5489303,1.4108175,0.9233517,0.53016967,0.0
17,0.17093797,0.013185419,4.2018008e-05,0.00015612082,0.0023450674
18,0.52078474,1.4130228,0.5387031,0.5045176,0.0
19,0.5877513,1.4239306,1.3688483,0.60067713,0.0
20,0.5832154,1.4678787,1.7137434,0.6159356,0.0
21,0.5247,1.5102259,0.66407526,0.5131745,0.0
22,0.5791649,1.6160126,1.6417894,0.4943035,0.0
23,0.5385018,1.4207326,0.6965743,0.50668967,0.0
24,0.58533794,1.46733,1.6523143,0.56066597,0.0
25,0.5492598,1.3661339,1.0615071,0.5889203,0.0
26,0.6958784,0.010160682,0.0019623972,0.0036553878,0.46463212
27,0.5080118,1.4441292,0.50373214,0.4599682,0.0
28,0.51310146,1.4240144,0.78606725,0.44604287,0.0
29,0.62418705,1.4257652,2.3747053,0.4986596,0.0
30,0.55581266,1.4465414,0.9342751,0.53509617,0.0
31,0.5551145,1.4762604,1.0450143,0.5170672,0.0
32,0.517291,1.4941233,0.65807074,0.5623275,0.0
33,0.5720622,1.5181795,1.3436513,0.57257754,0.0
34,0.57910323,1.4570019,1.265073,0.5881858,0.0
35,0.6160045,0.008902311,1.2051477,0.60138446,0.3281566
36,0.57285786,1.4557241,1.3195783,0.58558875,0.0
37,0.5839784,1.5085659,1.6412197,0.6116235,0.0
38,0.61922824,1.4697568,1.9173198,0.7058409,0.0
39,0.5844624,1.4030138,1.99575,0.640501,0.0
40,0.57524717,1.4509364,1.4475704,0.56410336,0.0
41,0.5494173,1.4063737,0.96330327,0.63617045,0.0
42,0.5654288,1.416701,1.1293924,0.5292075,0.0
43,0.5867724,1.4395616,1.244848,0.5915588,0.0
44,0.30989146,0.02413748,0.30657747,0.3985178,0.31458303
45,0.60046625,1.470393,1.6271913,0.6690136,0.0
46,0.5840822,1.4516072,1.5783683,0.5467594,0.0
47,0.5434662,1.4216993,0.7726251,0.51302475,0.0
48,0.50815886,1.3979492,0.45884952,0.514175,0.0
49,0.5362284,1.436886,0.7203524,0.5169619,0.0
50,0.58683,1.354049,1.5845523,0.6002574,0.0
51,0.55209035,1.4374331,0.92829406,0.52354264,0.0
52,0.5717325,1.4459214,1.3293953,0.49751297,0.0
53,0.65411234,0.06609189,0.55520433,1.4272103,0.8101596
54,0.611978,1.4245859,2.0255826,0.6674649,0.0
55,0.50208074,1.4237632,0.42098665,0.45915335,0.0
56,0.5748428,1.4481299,1.2766638,0.5319614,0.0
57,0.64430434,1.496254,3.0941772,0.6523608,0.0
58,0.58816385,1.4602871,1.5239955,0.5025031,0.0
59,0.6019526,1.4687579,1.8958675,0.56820166,0.0
60,0.60732,1.4681715,2.599039,0.67339253,0.0
61,0.5567445,1.4471352,1.1185141,0.5791453,0.0
62,1.7632053,0.10165869,0.33452564,0.97856754,2.0467217
63,0.54125226,1.4788512,0.8493911,0.479392,0.0
64,0.526145,1.4111634,0.67660797,0.4923208,0.0
65,0.5515494,1.5299901,0.8593302,0.53993964,0.0
66,0.5619518,1.3836575,0.97282296,0.5332109,0.0
67,0.58553416,1.4107851,1.7271363,0.61342686,0.0
68,0.573597,1.431337,1.698244,0.5715198,0.0
69,0.62707335,1.4490386,2.4756813,0.82293695,0.0
70,0.5568151,1.4487741,1.0423667,0.5359412,0.0
71,0.17060055,0.012115667,0.6533192,1.7090646,0.03319257
72,0.52849084,1.4343054,0.65473723,0.5001549,0.0
73,0.559526,1.4534556,0.9423197,0.54374593,0.0
74,0.49158037,1.473681,0.45560402,0.5094814,0.0
75,0.5308751,1.4613473,0.6544318,0.523215,0.0
76,0.53604907,1.4007311,0.6992534,0.49880704,0.0
77,0.5354917,1.4410006,0.7860196,0.5621231,0.0
78,0.66259515,1.3864152,4.030943,0.5733962,0.0
79,0.66158164,1.3877383,4.6015954,0.69187546,0.0
80,0.11668735,0.029869545,0.72151715,0.6707284,0.12942222
81,0.6167848,1.4383271,2.5949304,0.6109009,0.0
82,0.5424934,1.4886613,0.799305,0.4929853,0.0
83,0.5680711,1.5710968,1.1450849,0.5325248,0.0
84,0.57292604,1.3650804,1.1603119,0.5418882,0.0
85,0.5557106,1.4268696,0.9841011,0.60039455,0.0
86,0.5000137,1.486874,0.4682475,0.4550445,0.0
87,0.53899056,1.4714774,0.80933976,0.55215245,0.0
88,0.5949819,1.4731568,1.7490697,0.5928528,0.0
89,0.41808867,0.38010415,0.079245724,1.2698421,0.14871009
90,0.5522771,1.4454637,1.2518517,0.65964985,0.0
91,0.52155364,1.4260417,0.5876043,0.50386447,0.0
92,0.55607384,1.4722425,0.9635057,0.53809774,0.0
93,0.5704629,1.3959851,1.4068722,0.49596158,0.0
94,0.55666333,1.4413633,1.3254387,0.5438589,0.0
95,0.54313815,1.5014086,0.66146386,0.57565004,0.0
96,0.5173886,1.4517031,0.82624704,0.506643,0.0
97,0.6059983,1.371192,1.9767212,0.6380023,0.0
98,1.000837,0.018107502,0.03949517,0.8525117,0.5783512
99,0.5267524,1.4006668,0.5482089,0.47847208,0.0
100,0.56743914,1.463005,1.5447398,0.6395278,0.0
101,0.5195369,1.5031542,0.56674594,0.5227247,0.0
102,0.54448694,1.4370264,0.8436904,0.51868194,0.0
103,0.57052666,1.4002546,1.1195135,0.60793555,0.0
104,0.6074351,1.5426847,1.9520981,0.68175673,0.0
105,0.5785005,1.4127856,2.0296829,0.61447924,0.0
106,0.5413192,1.4573658,0.83679444,0.5175184,0.0
107,0.31662974,0.027754027,0.006697364,1.627678,0.30276123
108,0.50525945,1.39774,0.46774095,0.5195878,0.0
109,0.5493925,1.5134593,0.837078,0.4803299,0.0
110,0.5762034,1.3722031,1.264091,0.5481413,0.0
111,0.56542146,1.4840773,1.0067806,0.517118,0.0
112,0.59528357,1.4492382,1.9736146,0.72532004,0.0
113,0.59854543,1.4587314,1.6929471,0.6476248,0.0
114,0.6073327,1.4767323,2.3407812,0.5208438,0.0
115,0.60392374,1.4312466,1.7794876,0.53920037,0.0
116,0.6922702,0.032339312,0.16227344,1.5441588,0.7988408
117,0.6062169,1.4823669,1.9613777,0.7076038,0.0
118,0.60793996,1.4331595,1.7604027,0.6724281,0.0
119,0.5852522,1.4533193,1.2004551,0.64161897,0.0
120,0.594964,1.4350723,1.8716843,0.57813627,0.0
121,0.5740954,1.4073461,1.2484424,0.619531,0.0
122,0.585468,1.4846635,1.9189663,0.55919224,0.0
123,0.50890344,1.4054754,0.446481,0.42717302,0.0
124,0.5793413,1.461187,1.555688,0.49681643,0.0
125,1.3561493,0.0079420945,0.18491383,0.7822189,0.9469493
126,0.59452194,1.421712,1.9303378,0.62717336,0.0
127,0.5977845,1.3908731,1.9944121,0.5432715,0.0
128,0.5880528,1.4524336,1.5497347,0.5380355,0.0
129,0.5986101,1.339436,2.1857166,0.612207,0.0
130,0.5834885,1.4610976,1.3550719,0.67348015,0.0
131,0.6153312,1.441784,2.1712222,0.58404523,0.0
132,0.5690891,1.3701552,1.5211027,0.52021027,0.0
133,0.5235684,1.4670968,0.6824724,0.55991167,0.0
134,0.0758934,4.578409e-05,0.0005676408,0.31370702,0.0052896505
135,0.6254345,1.4842587,3.173411,0.6223754,0.0
136,0.5327414,1.4589225,0.7607376,0.5656681,0.0
137,0.558604,1.4419076,1.1334893,0.53388923,0.0
138,0.5277071,1.4229795,0.6438518,0.44057235,0.0
139,0.5852946,1.4303505,1.4993517,0.615089,0.0
140,0.5351954,1.396698,0.7007969,0.49793968,0.0
141,0.5353689,1.418065,0.62514883,0.5331309,0.0
142,0.5492696,1.5357274,0.91183764,0.49241656,0.0
143,0.09944732,0.0012775278,0.0025463654,0.27603033,0.071521744
144,0.601478,1.5214019,1.7948323,0.67357075,0.0
145,0.5633454,1.4841328,0.91291934,0.7080804,0.0
146,0.56416553,1.4639367,0.9891715,0.55407965,0.0
147,0.5356812,1.3872819,0.73892516,0.5059687,0.0
148,0.524846,1.4197849,0.63104624,0.46159014,0.0
149,0.54121655,1.4313331,0.81485766,0.49317688,0.0
150,0.63217175,1.4271371,3.207792,0.61972827,0.0
151,0.59645295,1.4341149,1.9157969,0.5688412,0.0
152,0.29550946,0.030434933,0.026683861,0.06788567,0.18582363
153,0.53991884,1.4257779,0.97282946,0.48067623,0.0
154,0.5508164,1.4780688,1.0373306,0.51642364,0.0
155,0.62069833,1.4599003,2.9236274,0.6240601,0.0
156,0.5282876,1.4721913,0.6308907,0.5657667,0.0
157,0.62348056,1.4008266,2.3282669,0.69209206,0.0
158,0.5891765,1.4541968,1.7659127,0.59942687,0.0
159,0.55923104,1.499616,0.99122494,0.5811446,0.0
160,0.54638594,1.4057139,0.77009684,0.572958,0.0
161,0.103459895,0.00039645637,0.0004470757,0.30871958,0.16605869
162,0.5635494,1.4919157,0.9446964,0.56241095,0.0
163,0.61853004,1.4656607,2.2464523,0.7860123,0.0
164,0.59562075,1.440994,1.7057353,0.660722,0.0
165,0.5798908,1.3721768,1.439054,0.57174355,0.0
166,0.5035304,1.4280708,0.5118272,0.4570404,0.0
167,0.6487557,1.4179434,3.1120007,0.74719703,0.0
168,0.59987164,1.4283512,1.6971964,0.5558506,0.0
169,0.49391544,1.5099317,0.51285607,0.47867113,0.0
170,0.603449,0.0009976865,0.00080999546,0.029468242,0.094082184
171,0.55723876,1.3883193,1.1945853,0.4995255,0.0
172,0.5221761,1.4651814,0.59987265,0.5230295,0.0
173,0.58052367,1.3352402,1.5602522,0.67244184,0.0
174,0.5880299,1.4305875,1.562261,0.7077911,0.0
175,0.54749316,1.4001945,1.0547657,0.5690747,0.0
176,0.5920714,1.4256293,1.4733628,0.6722831,0.0
177,0.54654735,1.4323797,0.77861,0.5041609,0.0
178,0.5776522,1.4856988,1.3670231,0.5517985,0.0
179,0.26825523,0.005733595,0.020873334,0.034574162,0.36887604
180,0.5652045,1.3901967,1.6440523,0.54505163,0.0
181,0.5507592,1.4199855,1.208622,0.54496723,0.0
182,0.56602997,1.5225253,1.1663346,0.6307172,0.0
183,0.5643558,1.5271277,1.1804148,0.51002944,0.0
184,0.6261147,1.4874508,2.6706846,0.7570101,0.0
185,0.5822342,1.4361204,1.556827,0.55104893,0.0
186,0.62511736,1.4042016,2.5578098,0.688593,0.0
187,0.5312137,1.4223329,0.70887816,0.5093295,0.0
188,5.6101594,0.018699747,0.20469473,0.18692671,3.8356397
189,0.5392181,1.4103653,0.85781676,0.5465119,0.0
190,0.59246963,1.4782106,1.9646293,0.6007132,0.0
191,0.6070982,1.4564133,2.4622333,0.61194277,0.0
192,0.5437293,1.4688636,0.90112805,0.49462995,0.0
193,0.61817086,1.4287462,2.3400848,0.6282039,0.0
194,0.5848037,1.4206398,1.382796,0.6240485,0.0
195,0.59224886,1.4018952,1.5921191,0.5791955,0.0
196,0.5428611,1.3838878,0.8697771,0.55573046,0.0
197,0.033062823,0.00140491,0.0007624248,0.8219831,0.012043008
198,0.5443514,1.4110126,0.8230758,0.49482507,0.0
199,0.5167577,1.3851881,0.6477505,0.46133122,0.0
200,0.5379512,1.4406102,0.8316991,0.47367635,0.0
201,0.5439702,1.5076678,0.7491519,0.5002428,0.0
202,0.59855425,1.5365026,1.8485842,0.5688022,0.0
203,0.5490959,1.4668665,0.78631413,0.52289236,0.0
204,0.6159319,1.4660562,2.5030353,0.65013456,0.0
205,0.6394176,1.3837059,3.1009085,0.64496255,0.0
206,0.034320846,0.0029673688,0.0052286033,0.12138534,0.0042712693
207,0.5126036,1.372968,0.5183587,0.49279782,0.0
208,0.57308066,1.4734133,1.1478475,0.52620786,0.0
209,0.56128806,1.3893383,1.2864336,0.5800224,0.0
210,0.53219897,1.4552138,0.5940891,0.5173854,0.0
211,0.5705498,1.4402066,1.1973077,0.56562585,0.0
212,0.59160393,1.4219298,1.9378493,0.6275697,0.0
213,0.53652734,1.3984852,0.76457375,0.5818994,0.0
214,0.5736363,1.4423499,1.1731616,0.50513285,0.0
215,0.04561303,0.002337112,0.00092304667,0.10192611,0.026519641
216,0.5340724,1.4023976,0.67213476,0.4927856,0.0
217,0.5927253,1.5123931,1.8274602,0.59798497,0.0
218,0.57424986,1.4845005,1.7058668,0.57102895,0.0
219,0.523806,1.5029348,0.5982825,0.46524286,0.0
220,0.63485956,1.5202092,2.6188154,0.6895605,0.0
221,0.6396786,1.4235688,3.3384044,0.6433281,0.0
