,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.93454283,0.9133568,0.09069995,0.9425988,0.9410914
1,-0.21413603,0.11015372,0.022399867,-0.32352468,0.23120816
2,0.9347054,0.9131201,0.08301614,0.94217587,0.94104475
3,0.3291958,0.35574746,-0.058144826,0.18972236,-0.21345818
4,0.9348711,0.91331804,0.11163209,0.94380647,0.9412418
5,0.15300551,-0.08163176,-0.08344768,-0.28666714,-0.10619809
6,0.93388695,0.9127652,0.08098694,0.94041747,0.9409013
7,0.25792915,0.26072899,0.3583771,-0.12091498,0.081541225
8,0.93431544,0.91252184,0.09692971,0.94094354,0.94092536
9,-0.21096101,-0.04902715,0.26090255,-0.061548386,0.24124755
10,0.9360187,0.91315585,0.10072311,0.9426367,0.94105816
11,0.2093559,0.02112694,0.01779936,0.083726816,-0.1319119
12,0.93450356,0.9132106,0.09219102,0.9428478,0.9409868
13,0.19446728,-0.0368642,0.3649273,0.17571074,-0.12700313
14,0.9345616,0.9130958,0.099748194,0.9434638,0.94107586
15,0.110893674,-0.006171618,-0.051546913,0.027417438,-0.28715262
16,0.935374,0.91369355,0.09000308,0.9436879,0.94091773
17,-0.15963195,-0.12418916,-0.36356208,-0.06387966,-0.253863
18,0.93423176,0.913192,0.085274056,0.9411212,0.9408897
19,-0.051856767,0.0037881404,-0.00075535744,-0.37840098,-0.38302177
20,0.9341826,0.9126084,0.08904745,0.9421126,0.9407575
21,-0.07875113,0.16587965,-0.42314464,0.023559913,-0.21904336
22,0.93512976,0.9131595,0.09128702,0.9423484,0.9409283
23,-0.11140391,-0.05925746,0.256957,-0.092768155,0.11851772
24,0.934414,0.91348845,0.094235115,0.9405633,0.9410502
25,-0.07618267,0.0309321,-0.33455685,0.1456995,-0.066769786
26,0.9345538,0.9132291,0.09411601,0.94244826,0.940879
27,-0.5442986,0.3446915,-0.098182134,-0.040890355,0.16392593
28,0.93576145,0.9131004,0.11291613,0.94377863,0.9407487
29,0.093139894,-0.24790455,-0.16057095,0.1080168,0.31720454
30,0.93533,0.9127441,0.105903305,0.9434375,0.94081503
31,-0.22995372,-0.2482765,0.29529637,0.38078338,0.24977581
32,0.93474483,0.9128332,0.09856737,0.94189215,0.9407891
33,-0.6763075,-0.14594422,0.0,0.35462886,-0.27094647
34,0.9344971,0.9132124,0.09577495,0.9424923,0.94101655
35,-0.39930284,0.18375818,0.0,-0.5076992,0.26192063
36,0.93553257,0.9138816,0.094136916,0.9452219,0.9411458
37,0.031013148,0.06289599,0.0,-0.19274627,0.26450446
38,0.93459177,0.91262454,0.074421994,0.9432943,0.9408928
39,0.1004074,-0.09221744,0.0,0.0059158783,-0.31323412
40,0.9351371,0.9134936,0.10053432,0.94488466,0.9407444
41,-0.088215746,0.07662915,0.0,0.29822356,-0.18508424
42,0.9350398,0.9127605,0.10219021,0.94170934,0.94086504
43,-0.016505418,0.19349378,0.0,-0.17254406,-0.14079866
44,0.93617445,0.9131787,0.104677685,0.9446164,0.9409151
45,-0.28957716,-0.14587288,0.0,-0.3960275,-0.14269964
46,0.93589437,0.91361177,0.084940225,0.9444549,0.94100577
47,0.10345018,0.10941105,0.0,0.17299339,0.041409966
48,0.9343653,0.91292834,0.10217924,0.94210017,0.94077224
