,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.92780757,0.9090524,0.07801832,0.93473786,0.93975693
1,0.14756753,-0.0912282,0.0936595,0.20457996,0.1411892
2,0.92839295,0.9093636,0.07393219,0.93733925,0.9398614
3,0.10973582,-0.025171567,0.093581915,0.087038636,-0.06420475
4,0.928294,0.90917164,0.07887077,0.93545634,0.9398015
5,0.038804077,-0.02617573,0.012372172,-0.059190985,-0.058906488
6,0.927928,0.90914,0.07296106,0.934606,0.9396441
7,0.22002302,-0.109983444,-0.05682547,-0.35801026,-0.2562114
8,0.9292662,0.90908843,0.073916964,0.9362655,0.93987644
9,-0.41854492,0.053323954,-0.4068952,-0.033338815,-0.026645275
10,0.92874694,0.9091094,0.0794788,0.9356781,0.9399252
11,-0.0349171,-0.15481254,-0.310733,0.18463156,-0.20425874
12,0.92756414,0.9083415,0.06553215,0.93706924,0.9398238
13,-0.18591072,0.007383688,-0.35547554,-0.18606858,0.18556255
14,0.927551,0.90859854,0.07385192,0.93686485,0.93983585
15,0.11524524,-0.04183871,-0.12181275,0.022442235,0.19774027
16,0.92854035,0.9088619,0.09026453,0.9364772,0.9399379
17,0.08579922,0.16039445,0.20871235,-0.08088445,0.18881829
18,0.92803425,0.9093984,0.097871676,0.9370065,0.93979883
19,0.06602951,0.17410415,0.04202224,0.1769043,0.0671807
20,0.9270123,0.90888155,0.09796996,0.9353677,0.9398136
21,0.10286642,0.22912195,-0.12784787,-0.0015604775,-0.08527076
22,0.92883337,0.90902627,0.096304744,0.9360408,0.93982923
23,-0.0025242488,0.0491839,0.123507425,0.14386477,-0.058001142
24,0.9288854,0.90926784,0.077305645,0.9353432,0.9399163
25,0.25777346,0.06848923,0.0742122,0.20225842,-0.041706447
26,0.92845,0.9089029,0.09487595,0.9347797,0.93950856
27,0.045940142,0.059774816,0.1159774,-0.099621534,-0.3397862
28,0.9283583,0.909021,0.07820566,0.93584716,0.939941
29,-0.17171283,0.03244078,-0.21700837,-0.16410734,-0.064694084
30,0.92751104,0.9082517,0.084053405,0.93521994,0.9398013
31,0.09937498,0.2447635,0.17910956,-0.09137406,-0.20464756
32,0.92749226,0.90899473,0.10235436,0.9370557,0.93991697
33,0.12180078,0.11586943,0.0,-0.022494169,-0.24469803
34,0.9282752,0.90886533,0.07439985,0.93363136,0.93990606
35,0.08818524,0.112497315,0.0,0.010866563,-0.21558133
36,0.92712307,0.90880394,0.071253024,0.9354513,0.9396141
37,-0.15994707,0.098997615,0.0,0.057020698,0.19813909
38,0.92788494,0.9093221,0.07154383,0.9355084,0.9401284
39,-0.4531353,0.12475054,0.0,0.24963023,-0.06311768
40,0.92795557,0.908394,0.07337863,0.93507195,0.9399261
41,0.09581386,0.14772713,0.0,0.45316523,-0.098790005
42,0.92882067,0.9085946,0.080356546,0.935984,0.9397398
43,0.051582552,-0.056268986,0.0,0.104457565,-0.366939
44,0.92824084,0.90903085,0.071401484,0.9345346,0.93978846
45,-0.0050827833,0.013158139,0.0,-0.13020879,0.36164156
46,0.9288644,0.9090333,0.07757637,0.9357284,0.9401121
47,0.17017758,0.0711092,0.0,-0.042691667,0.035896596
48,0.92899126,0.90900344,0.07627395,0.93484384,0.93965703
