,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.9324856,0.90915835,0.1673289,0.9375205,0.9467903
1,0.93384576,0.9074428,0.2594089,0.9393561,0.94654757
2,0.9340036,0.90833884,0.19864778,0.9414725,0.9470543
3,0.933558,0.9092493,0.15816326,0.9412997,0.9468357
4,-0.31314433,-0.1428411,-0.16146113,-0.045859173,-0.01264257
5,0.9327066,0.9090517,0.18902928,0.94097173,0.9468817
6,0.9321328,0.9074602,0.17113574,0.9400889,0.9471269
7,0.93335134,0.9085164,0.22806941,0.9380872,0.946654
8,0.9352381,0.9099708,0.16690713,0.9436292,0.9468914
9,-0.0111067835,-0.12759638,-0.13083985,0.09095937,-0.06001488
10,0.9324489,0.9084742,0.24794455,0.94073033,0.9470402
11,0.9332215,0.90845793,0.21633904,0.94069356,0.9466023
12,0.9340534,0.90926033,0.19331422,0.9408876,0.94715697
13,0.93465126,0.9087064,0.21129559,0.9401018,0.9471841
14,-0.23733298,0.07870503,0.01923523,-0.024766168,0.043021657
15,0.9323669,0.9083808,0.15101993,0.94043255,0.94665563
16,0.9355317,0.9090263,0.18119074,0.94358045,0.94714046
17,0.9330735,0.90793246,0.16789185,0.9400909,0.9467243
18,0.93388194,0.9080332,0.14897293,0.939618,0.94691765
19,-0.0050423387,-0.22979708,-0.059631053,-0.04971197,0.26645234
20,0.9335644,0.90876245,0.18335742,0.94022524,0.9470471
21,0.9339544,0.9091575,0.3269182,0.94198203,0.9469301
22,0.93400043,0.90875447,0.2277571,0.9414479,0.94699687
23,0.93400055,0.9090491,0.17014791,0.9395749,0.9466408
24,0.12470078,0.017115457,0.058462285,-0.17207202,-0.01962528
25,0.9352134,0.9091343,0.22219393,0.9415263,0.9472467
26,0.9332189,0.9080941,0.19054706,0.93979937,0.9468784
27,0.9335345,0.9082897,0.16538395,0.94161785,0.94669926
28,0.9319759,0.9082552,0.20848387,0.93853587,0.94670326
29,0.26269594,-0.266345,-0.036451157,-0.06942389,-0.34505114
30,0.931701,0.908065,0.15616275,0.93900275,0.9464819
31,0.9363783,0.9102171,0.18861729,0.94060826,0.9470052
32,0.9330103,0.9077354,0.2524422,0.9403263,0.94705313
33,0.9339269,0.9083314,0.15065964,0.94001245,0.9471384
34,0.3100149,0.03905875,-0.88000965,-0.07919942,-0.16686891
35,0.93319935,0.9088264,0.17823261,0.93849915,0.94745487
36,0.93281233,0.9083012,0.1523159,0.94001293,0.94663167
37,0.9348727,0.90910816,0.17540243,0.93921554,0.9469953
38,0.93295974,0.90808964,0.12957315,0.938836,0.9469242
39,-0.13221788,-0.16541709,0.029721221,0.3856879,0.039648753
40,0.9343196,0.9092924,0.14330775,0.93975013,0.9468789
41,0.9324009,0.90728134,0.20643182,0.9393424,0.9472132
42,0.9345506,0.9095231,0.17837435,0.9403951,0.94700843
43,0.93333566,0.9083496,0.1554385,0.9407479,0.94672585
44,-0.16830646,0.24108419,-0.06018067,-0.2663409,-0.064145684
45,0.9326494,0.9080673,0.18724437,0.9390197,0.9470391
46,0.9335645,0.9083229,0.1789146,0.9406288,0.9468972
