,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.93536025,0.91097933,0.27054295,0.939296,0.9470681
1,0.9397565,0.9142837,0.43427798,0.95435506,0.9471628
2,0.9377043,0.91275996,0.3723391,0.9473891,0.9478231
3,0.9353815,0.910922,0.3137994,0.94170994,0.9482017
4,0.93373734,0.90979123,0.31039882,0.9371834,0.9460073
5,0.93539596,0.9112113,0.36044392,0.938728,0.94670624
6,0.9333999,0.9127554,0.30652314,0.94502604,0.94720477
7,0.9361859,0.9134219,0.34950894,0.9419103,0.9460423
8,0.93350005,0.91340524,0.27301258,0.94084114,0.9458053
9,0.9360451,0.9113999,0.30242786,0.9405681,0.9477041
10,0.93349403,0.9092865,0.2734574,0.94071203,0.94685364
11,0.9372213,0.9125015,0.30954078,0.9469029,0.9479508
12,0.9417333,0.9149239,0.39704868,0.94702756,0.94588095
13,0.93611956,0.9133425,0.29452285,0.9425742,0.94696313
14,0.9341935,0.9104451,0.27660516,0.9417762,0.9471284
15,0.9385067,0.9134775,0.36221844,0.9489927,0.94803935
16,0.93783087,0.9135719,0.36689427,0.9443636,0.94750535
17,0.0,0.0,0.0,4.576e-41,4.576e-41
18,0.93739635,0.91279733,0.28571343,0.9445023,0.946156
19,0.9332741,0.91197747,0.39227214,0.94423133,0.9465619
20,0.9366518,0.9122004,0.3484463,0.94171154,0.94752157
21,0.9374635,0.91150326,0.4789719,0.94621104,0.9470352
22,0.9350046,0.91202164,0.22494559,0.94312185,0.9468822
23,0.93622696,0.91171676,0.3628726,0.9454495,0.94711125
24,0.9386846,0.9130982,0.3539679,0.94301593,0.9473922
25,0.9349603,0.9113312,0.3025843,0.9388601,0.94693905
26,0.9357626,0.91547,0.2627396,0.9501747,0.9460604
27,0.9383534,0.9130839,0.25570068,0.9468641,0.9472914
28,0.9363586,0.915127,0.28622264,0.94685143,0.94674015
29,0.93388945,0.9120598,0.23652242,0.93929636,0.9477715
30,0.9372355,0.91261137,0.29504615,0.94530666,0.9473922
31,0.9396994,0.9134575,0.39833313,0.9516253,0.94660324
32,0.9372921,0.91449213,0.29094,0.9489644,0.94718575
33,0.93646955,0.91154486,0.37000126,0.94532543,0.9464616
34,0.9350591,0.9104128,0.25331098,0.94038707,0.9472121
35,0.0,0.0,0.0,-144091920000.0,4.576e-41
36,0.9403443,0.913319,0.41377407,0.94633883,0.94700336
37,0.93533343,0.9126734,0.3650212,0.9418055,0.9471456
38,0.935734,0.9107133,0.34672457,0.942619,0.9474289
39,0.9342256,0.91156983,0.28331304,0.94147444,0.9471091
40,0.93815976,0.9136484,0.3190151,0.9512287,0.94574034
41,0.9320463,0.9102144,0.23859777,0.9431369,0.94579536
42,0.93338495,0.9097739,0.33117518,0.93734884,0.94627494
43,0.9341947,0.91060954,0.31111947,0.9369155,0.9461613
44,0.9373698,0.9127754,0.26761547,0.950083,0.9459853
45,0.9409748,0.91474026,0.3627819,0.9526828,0.94749486
46,0.93616927,0.9104501,0.34603855,0.94131756,0.94655824
47,0.934756,0.91141254,0.2759422,0.94516474,0.94713914
48,0.9369842,0.912233,0.3669147,0.9430349,0.9460506
49,0.9376371,0.9123537,0.3821746,0.94462687,0.94609785
50,0.9378168,0.9121372,0.3783543,0.9420397,0.9470673
51,0.93726665,0.91235834,0.30036187,0.9417229,0.94811016
52,0.93662566,0.9124796,0.3113841,0.94533944,0.94669205
53,0.0,0.0,0.0,0.0,4.576e-41
54,0.9378822,0.9111448,0.46778008,0.9445789,0.9460318
55,0.9365339,0.9116406,0.3067801,0.9478128,0.9469075
56,0.9405104,0.9145357,0.2959131,0.95088595,0.9477079
57,0.93701434,0.91263974,0.4190399,0.9429313,0.9462385
58,0.93614995,0.9123918,0.32253107,0.948998,0.9471343
59,0.93615663,0.91033024,0.38430902,0.94270736,0.9474398
60,0.93713766,0.91224873,0.30191785,0.93989766,0.9465022
61,0.93605524,0.9124289,0.40462923,0.94288146,0.94621444
62,0.937356,0.9118384,0.3828059,0.9450867,0.9471327
63,0.9349177,0.91179276,0.3227484,0.9436603,0.9479587
64,0.9330458,0.9118063,0.33456743,0.9365236,0.9469811
65,0.9394754,0.9131573,0.33039477,0.94556695,0.9463487
66,0.9378247,0.9124892,0.32800332,0.9443614,0.94690216
67,0.9346201,0.91393846,0.30281442,0.94867134,0.9455698
68,0.93591857,0.91231424,0.3272312,0.9408754,0.9471041
69,0.93634945,0.9115461,0.4305592,0.946179,0.94650096
70,0.93948966,0.9140953,0.40019324,0.94789904,0.9485453
71,0.0,0.0,0.0,0.0,4.576e-41
72,0.9316442,0.9088327,0.28642786,0.9362895,0.94727874
73,0.936892,0.91290045,0.24931797,0.94522285,0.94602233
74,0.93762875,0.9128844,0.35124984,0.94762695,0.9463598
75,0.9389047,0.9135369,0.43172708,0.9474735,0.94694054
76,0.93442667,0.91106486,0.31704023,0.9409713,0.9477482
77,0.9354553,0.9115475,0.23803148,0.93647516,0.9462462
78,0.936835,0.91145283,0.3314075,0.94616365,0.94700557
79,0.9352258,0.91316885,0.24798615,0.9447084,0.94579715
80,0.93500465,0.9121325,0.28027713,0.94165826,0.9473004
81,0.93803334,0.9125462,0.2757767,0.9509955,0.9463072
82,0.93748605,0.9129664,0.3168996,0.9520872,0.9473401
83,0.93447423,0.9105968,0.26673114,0.9378381,0.9467228
84,0.9381788,0.913456,0.31970754,0.94558924,0.9467481
85,0.93708646,0.9111696,0.40172255,0.9423788,0.94659024
86,0.9329997,0.911311,0.33138034,0.93840384,0.9470896
