,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.99777406,0.9972445,0.67247415,0.99817353,0.99735636
1,0.9980068,0.9974325,0.826297,0.9985292,0.9981257
2,0.9977149,0.99721646,0.43521708,0.998272,0.9982782
3,0.99777186,0.99706995,0.54105747,0.9981468,0.998372
4,0.9977231,0.9971943,0.52710366,0.9979752,0.9985858
5,0.9978556,0.9972046,0.8121075,0.99817836,0.9986461
6,0.9978431,0.9973975,0.45369142,0.9980874,0.9985264
7,0.99759465,0.99730545,0.45805275,0.9979724,0.9984967
8,0.99768627,0.9973844,0.3432228,0.9983271,0.9984102
9,0.99753004,0.9974785,0.33727545,0.99813503,0.9983693
10,0.99760807,0.9974567,0.28085625,0.9979881,0.99822706
11,0.9976284,0.9975668,0.34225622,0.99805105,0.9980552
12,0.99778754,0.9974953,0.5257568,0.9979021,0.99782425
13,0.99761087,0.9974806,0.39477423,0.9978425,0.99713194
14,0.9975945,0.9975333,0.2898648,0.9981247,0.99782723
15,0.9977597,0.99744797,0.6547708,0.99826074,0.99800205
16,0.99775827,0.99741614,0.44184792,0.99814564,0.9980498
17,0.0,0.0,0.0,0.0,0.0
18,0.9976312,0.99747056,0.30398497,0.9980754,0.9981538
19,0.9976441,0.99756795,0.2718166,0.99819607,0.9983192
20,0.99753696,0.99742657,0.26556095,0.9979178,0.9983523
21,0.9978207,0.9973997,0.6085754,0.9981729,0.99839413
22,0.9975829,0.9974106,0.39098746,0.9981822,0.9983794
23,0.997829,0.99740934,0.44116455,0.9985504,0.9984121
24,0.998047,0.99716216,1.0163239,0.998434,0.99836725
25,0.997681,0.9971832,0.43890932,0.9979394,0.9982393
26,0.9974771,0.9970595,0.3152911,0.9980513,0.9982062
27,0.99776673,0.9973064,0.6707557,0.99799985,0.9981437
28,0.99784195,0.99728644,0.61654925,0.9980453,0.99809605
29,0.99758416,0.9971251,0.37959412,0.998087,0.99802035
30,0.9977272,0.997149,0.52859414,0.99828637,0.99801964
31,0.99751675,0.99693364,0.41563272,0.9981861,0.99788254
32,0.99770135,0.99721074,0.4040744,0.9977935,0.9978453
33,0.9975624,0.99703497,0.65801555,0.998565,0.9977634
34,0.9977242,0.9970996,0.4791554,0.99786806,0.997381
35,0.0,0.0,0.0,0.0,0.0
36,0.99772847,0.99715835,0.51145285,0.9976779,0.9976993
37,0.9978545,0.9970694,0.79779863,0.9983444,0.99771553
38,0.99757475,0.997151,0.4624424,0.99801946,0.9979027
39,0.9978841,0.99725485,0.8366365,0.99804515,0.997966
40,0.9978273,0.9970013,0.6413673,0.9980776,0.99802035
41,0.9978079,0.9972196,0.6689419,0.9980894,0.99806833
42,0.9977748,0.9972498,0.5570844,0.998088,0.9980998
43,0.9978037,0.996944,0.4601615,0.99810964,0.99811983
44,0.9978845,0.9971325,0.7010971,0.99839675,0.9982147
45,0.9976597,0.9973023,0.4078206,0.9980343,0.9982365
46,0.9976529,0.99735796,0.48581922,0.99814206,0.99823487
47,0.9978881,0.9971467,0.5322024,0.9982495,0.99833393
48,0.99774355,0.9973528,0.46531188,0.9983134,0.9982883
49,0.99778324,0.9973594,0.45879626,0.9981121,0.99824005
50,0.99770164,0.9974605,0.34119314,0.99810904,0.9982275
51,0.9975801,0.9974379,0.38557887,0.9979545,0.99823385
52,0.9979126,0.99737924,0.95613444,0.9982412,0.9981133
53,0.0,0.0,0.0,0.0,0.0
54,0.99780935,0.99743515,0.7723128,0.9981788,0.99809265
55,0.9975682,0.99752575,0.32997754,0.9982026,0.99797344
56,0.9979344,0.9974054,0.8228435,0.9979664,0.9979259
57,0.9977685,0.9974862,0.51122385,0.99794054,0.99770147
58,0.99769264,0.9974786,0.36320966,0.9980401,0.99754584
59,0.9977311,0.99743515,0.4005289,0.9981128,0.9977992
60,0.99755615,0.99748594,0.33029053,0.99840015,0.9979392
61,0.99779046,0.9973324,0.52662385,0.9979048,0.99798024
62,0.9976054,0.99748176,0.27205825,0.99815035,0.9980878
63,0.99748665,0.9975034,0.28106254,0.9979323,0.9981775
64,0.9978336,0.99740404,0.6690871,0.9981639,0.99826807
65,0.9974765,0.9973609,0.2883029,0.9978553,0.998161
66,0.9975385,0.99742484,0.33179268,0.9982031,0.99822706
67,0.997777,0.9974162,0.6319706,0.99808896,0.99827445
68,0.997869,0.9973792,0.618037,0.9979274,0.9982528
69,0.99751097,0.99712974,0.25749704,0.9980691,0.9982432
70,0.9978259,0.9973654,0.5510897,0.9979323,0.9982628
71,0.0,0.0,0.0,0.0,0.0
72,0.99780595,0.99724627,0.5114767,0.9982592,0.9982846
73,0.99767095,0.9971845,0.47588742,0.9979908,0.998216
74,0.99795115,0.9971903,0.8557781,0.9980907,0.99823815
75,0.9976749,0.9971074,0.3800557,0.9980335,0.99812174
76,0.9979226,0.9972655,0.8290212,0.99816626,0.99819165
77,0.99777764,0.99734026,0.5849468,0.9979284,0.9981396
78,0.99799335,0.9971946,1.19108,0.99799496,0.9980724
79,0.9977537,0.99706894,0.5678156,0.9980601,0.9980366
80,0.99803895,0.9971629,1.2688731,0.9982187,0.9979269
81,0.9977818,0.9969764,0.5677864,0.9979777,0.99774
82,0.99759156,0.9971659,0.642452,0.99858665,0.9975062
83,0.997939,0.9971197,0.98100835,0.9982637,0.9977317
84,0.9975518,0.9969648,0.39890984,0.99822664,0.9975958
85,0.99786115,0.99723625,0.7936731,0.99802554,0.99780995
86,0.99765116,0.99710923,0.3668949,0.99810266,0.9979668
87,0.9976613,0.99692965,0.53777426,0.99791366,0.9980195
88,0.9977509,0.9970762,0.45704564,0.9980594,0.9980797
89,0.0,0.0,0.0,0.0,0.0
90,0.9975472,0.99722296,0.3304354,0.99801195,0.99811184
91,0.9977449,0.9973215,0.49180216,0.99788785,0.9981019
92,0.9980434,0.99738055,1.0745476,0.9979818,0.9981138
93,0.997469,0.99727374,0.33819586,0.997942,0.99819785
94,0.99788564,0.9972711,0.7965953,0.9981437,0.9982064
95,0.9979451,0.9972521,0.85309654,0.99840635,0.9982309
96,0.997751,0.99713343,0.47580972,0.9983022,0.9982651
97,0.9976674,0.99715817,0.3712582,0.9980594,0.99827594
98,0.99772066,0.997372,0.5352698,0.99810845,0.99821645
99,0.9978067,0.9973314,0.57201445,0.99797803,0.9982845
100,0.99766177,0.99742025,0.35619134,0.99812466,0.99826336
101,0.99764866,0.9974616,0.4097838,0.99818736,0.9982451
102,0.9977038,0.99749106,0.33141765,0.9977492,0.99822944
103,0.99768925,0.9974668,0.5380083,0.9983115,0.9980848
104,0.99770087,0.99749553,0.35955444,0.9981625,0.99808997
105,0.997356,0.9974923,0.282627,0.99816567,0.9980105
106,0.997374,0.997429,0.24494572,0.9981541,0.9977944
107,0.0,0.0,0.0,0.0,0.0
108,0.99772984,0.9974724,0.45734215,0.9980548,0.99766475
109,0.99753934,0.9974396,0.2857412,0.99810386,0.9975197
110,0.9976304,0.9974819,0.35520184,0.99791193,0.99753076
111,0.99757874,0.99737835,0.29385287,0.99799895,0.9977823
112,0.99754846,0.99746,0.24213879,0.99819714,0.99782085
113,0.9975017,0.9974595,0.26939252,0.9980342,0.99787974
114,0.9975394,0.99739033,0.23510943,0.9983469,0.9979892
115,0.9977086,0.9974519,0.355062,0.99800813,0.99806696
116,0.9976092,0.9974984,0.37830764,0.99837524,0.9981409
117,0.9976269,0.9974826,0.36805484,0.99793047,0.99817175
118,0.9975983,0.99746144,0.39469346,0.9978856,0.9982517
119,0.9977075,0.9974696,0.38581997,0.9980972,0.99836797
120,0.9977606,0.9974532,0.45149076,0.99793994,0.9983534
121,0.9978034,0.997348,0.53303313,0.998186,0.9983979
122,0.9977264,0.9972418,0.5970806,0.9982004,0.9983577
123,0.9975684,0.99734825,0.3648804,0.9979297,0.9983304
124,0.9977757,0.99743044,0.4988174,0.99824387,0.99833125
125,0.0,0.0,0.0,0.0,0.0
126,0.9979637,0.9972011,1.1240548,0.9980495,0.9983365
127,0.99757504,0.99711126,0.2966139,0.99772847,0.9981886
128,0.99768883,0.99727225,0.50755227,0.997799,0.9982154
129,0.9977841,0.9970019,0.56321794,0.99796635,0.99815077
130,0.99781436,0.9972833,0.49847144,0.99789923,0.99808496
131,0.99762726,0.99713224,0.46235767,0.99804556,0.998003
132,0.9977558,0.99713594,0.45705518,0.9978743,0.99803126
133,0.99803543,0.9973707,1.0671948,0.9982818,0.9979727
134,0.9976041,0.99714935,0.3857884,0.99844086,0.9978055
135,0.9978995,0.9970848,0.9356773,0.99794495,0.9976953
136,0.9977195,0.9971887,0.5758255,0.9984982,0.99757
137,0.9975856,0.9972422,0.41328627,0.99796623,0.9977479
138,0.9975557,0.9972197,0.30501577,0.9981122,0.99783975
139,0.99761313,0.9970456,0.5526976,0.99829364,0.9979177
140,0.99780285,0.99716264,0.4613829,0.998035,0.99801403
141,0.9975797,0.99727815,0.3257642,0.99802536,0.9980674
142,0.9977993,0.99727994,0.6073383,0.9981789,0.9980783
143,0.0,0.0,0.0,0.0,0.0
144,0.9977614,0.99730676,0.5668467,0.99818563,0.99815494
145,0.99764276,0.99726295,0.5341513,0.99825794,0.99817455
146,0.9975488,0.99732786,0.24854471,0.9982308,0.9982103
147,0.99765193,0.9972684,0.3693722,0.9978361,0.99823546
148,0.9978741,0.99715924,0.9582361,0.99848455,0.99832803
149,0.9978359,0.99738306,0.55073804,0.99825287,0.9982745
150,0.99740523,0.997304,0.26168722,0.99821454,0.998264
151,0.9978611,0.9974463,0.54909927,0.99810356,0.99827135
152,0.99772567,0.99746805,0.303211,0.9979858,0.9982233
153,0.9978022,0.99730814,0.56087536,0.9980821,0.998231
154,0.9978058,0.99741757,0.5949981,0.9983003,0.9981927
155,0.9975961,0.9974657,0.30231643,0.9983567,0.9982614
156,0.99779916,0.9973757,0.49118984,0.9981518,0.9981903
157,0.99799633,0.9973743,0.921608,0.9982401,0.9981963
158,0.99783736,0.9975813,0.49696153,0.9979,0.99815696
159,0.9978166,0.99746126,0.5718808,0.9980266,0.9980695
160,0.9975946,0.9974662,0.28145266,0.99808085,0.9980628
161,0.0,0.0,0.0,0.0,0.0
162,0.99743664,0.997476,0.24748099,0.997725,0.9979749
163,0.99760056,0.9974615,0.32969478,0.9980385,0.997728
164,0.99779916,0.99743897,0.54945904,0.9980626,0.99764895
