,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.9974364,0.9971139,0.44161937,0.99797493,0.9983815
1,0.9977135,0.99694717,0.9937535,0.9980069,0.9986431
2,0.99747616,0.996936,0.6877514,0.9980051,0.9985883
3,0.99749476,0.99692476,0.5799802,0.99775946,0.9986316
4,0.99747753,0.996883,0.4889683,0.9980435,0.9985293
5,0.9976037,0.99690384,0.62578344,0.9979003,0.99861294
6,0.997584,0.9968325,0.6060348,0.9979581,0.998661
7,0.9976361,0.99702626,0.731291,0.9980227,0.99853086
8,0.99761134,0.99699223,0.6128683,0.998067,0.9984833
9,0.99733424,0.99698037,0.43074074,0.9979471,0.9983877
10,0.9976232,0.9970707,0.6735374,0.99800336,0.99816835
11,0.9975378,0.99709433,0.49617428,0.9979012,0.99804604
12,0.99731433,0.9969701,0.35922533,0.99791604,0.99794203
13,0.9974648,0.9971361,0.3172816,0.9980423,0.9978563
14,0.9973167,0.99699306,0.37868494,0.9980381,0.99776316
15,0.9973171,0.9971459,0.23887885,0.9980549,0.99789906
16,0.9974791,0.99709517,0.36398154,0.9978864,0.9980729
17,0.0,0.0,0.0,0.0,0.0
18,0.99761134,0.99711233,0.5402079,0.99793637,0.99828047
19,0.9975075,0.99705464,0.45367798,0.9980075,0.99824476
20,0.99744904,0.9969943,0.4937293,0.99803257,0.99841243
21,0.9974895,0.99698794,0.46725583,0.9980423,0.9984863
22,0.99736065,0.996949,0.37015632,0.9978471,0.99859035
23,0.99752665,0.9968639,0.61573726,0.9978974,0.9986249
24,0.9977754,0.9969966,1.1172531,0.9978902,0.9987143
25,0.997476,0.99695027,0.39050987,0.9979481,0.9987265
26,0.9973593,0.9968419,0.5088413,0.99800587,0.9987197
27,0.99760723,0.99686736,0.6388782,0.9977984,0.99865395
28,0.99745435,0.99684876,0.5098029,0.99822545,0.99863315
29,0.9976028,0.9968514,0.5212005,0.99792266,0.9985542
30,0.99744743,0.9969962,0.33798745,0.9977483,0.99859047
31,0.9976235,0.9970979,0.82380986,0.9979084,0.9983605
32,0.9976048,0.9970385,0.5545657,0.99796766,0.9982969
33,0.9974418,0.9970478,0.5512865,0.9978249,0.9981559
34,0.9975392,0.9970831,0.6703747,0.99773705,0.99792033
35,0.0,0.0,0.0,0.0,0.0
36,0.9975578,0.9970958,0.7441256,0.9980673,0.997806
37,0.9975267,0.9971178,0.5026038,0.9980419,0.9977517
38,0.99731475,0.9971309,0.43209997,0.99785966,0.99791676
39,0.9974324,0.9971182,0.4939911,0.9977962,0.9981332
40,0.99741054,0.997096,0.39643586,0.9977526,0.99834466
41,0.99738616,0.99710906,0.5580745,0.99797654,0.9983076
42,0.997638,0.99692756,0.7304002,0.99776703,0.9984888
43,0.99763626,0.9969774,0.87448806,0.9979057,0.99859035
44,0.9977039,0.9968808,0.8426124,0.9979402,0.9986034
45,0.9976867,0.99681455,0.9039963,0.99771106,0.99874324
46,0.99769384,0.99693894,0.9156377,0.9978792,0.99872047
47,0.99779755,0.99679595,1.1257666,0.99794143,0.99877584
48,0.9972968,0.99687636,0.3729766,0.99793476,0.99871075
49,0.9975676,0.99691457,0.56112224,0.997953,0.99877465
50,0.997587,0.99692917,0.47818044,0.99804014,0.99880856
