,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.997147,0.9973411,0.090576954,0.9978379,0.9981527
1,0.9972577,0.9973071,0.110158086,0.99786216,0.9984176
2,0.9973226,0.9972643,0.18737185,0.9978756,0.9986591
3,0.9972429,0.997259,0.11741283,0.9978367,0.99894685
4,-0.1005136,-0.67087615,1.9955741,0.135698,-1.5518978
5,0.9971813,0.9972186,0.13550568,0.99787444,0.9992127
6,0.9973864,0.99719626,0.16725284,0.9979607,0.9995287
7,0.99723977,0.997201,0.15642019,0.99788904,0.9998526
8,0.9973478,0.9971699,0.2302898,0.99795145,1.0002847
9,0.81301445,0.5684494,-0.41898736,0.20830297,-1.0484995
10,0.9973348,0.9971388,0.21253793,0.9978016,1.0006878
11,0.99723625,0.99712753,0.15989374,0.9977927,1.0012143
12,0.9973292,0.99712914,0.23839255,0.9977968,1.0016083
13,0.9973652,0.9970883,0.2848998,0.99775046,1.0021579
14,0.25519302,0.7631949,0.80992347,1.2881254,0.63720226
15,0.9973971,0.99707186,0.24967079,0.99779934,1.0027035
16,0.99741083,0.9971004,0.31685036,0.9976616,1.0032742
17,0.99721676,0.99705195,0.17094557,0.9977254,1.0038171
18,0.99734145,0.99701995,0.27532282,0.99769515,1.0045215
19,-0.43354395,-0.121137075,-1.2324996,0.39162764,-0.95486355
20,0.9972939,0.9970046,0.28493384,0.997734,1.0050203
21,0.99717194,0.99698144,0.16719893,0.9977163,1.0059341
22,0.99727327,0.99698395,0.27472392,0.9976727,1.0063165
23,0.9972647,0.99696684,0.2278229,0.9976295,1.0069172
24,1.3773174,1.4682778,0.5169651,0.13585529,0.044913437
25,0.9971736,0.9969834,0.18143609,0.99772173,1.0076548
26,0.9974061,0.99694735,0.39572576,0.9976914,1.0079358
27,0.9971521,0.99691933,0.18505426,0.99777395,1.009273
28,0.99741155,0.9968818,0.3911505,0.9976822,1.0096182
29,-0.19833657,1.2995362,-0.59796387,0.016368756,-1.0148882
30,0.997243,0.99686325,0.18432237,0.9977859,1.0100067
