,PnL_norm,MSE_norm,SR_norm,STD_norm,BCE_norm
0,0.99764365,0.997164,0.5229096,0.99799496,0.99764955
1,0.99762046,0.9971806,0.55459124,0.9980865,0.99818
2,0.99765754,0.99707955,0.60936105,0.99812484,0.9984477
3,0.9974162,0.99711114,0.35515186,0.99772173,0.9987152
4,0.99756974,0.9970771,0.54908127,0.9977792,0.9988963
5,0.9973091,0.9970128,0.25452372,0.9978185,0.99925077
6,0.99754757,0.9969254,0.6174794,0.99797773,0.9995466
7,0.99734706,0.9969337,0.3210722,0.9976149,0.999718
8,0.9974246,0.99693584,0.4052538,0.99769694,1.0001835
9,0.99760026,0.99682605,0.6198762,0.9979686,1.0005366
10,0.9974184,0.9968377,0.3178064,0.99794763,1.0007639
11,0.9972951,0.99680424,0.33631673,0.9975442,1.0013341
12,0.99746734,0.9968829,0.5118898,0.9979964,1.0014268
13,0.99742204,0.99679005,0.3715335,0.99790674,1.0020347
14,0.9974038,0.99680054,0.3758311,0.9978398,1.002494
15,0.9973796,0.99680173,0.25589797,0.99804497,1.002646
16,0.9973316,0.99683344,0.35157928,0.9978575,1.0030053
17,0.0,0.0,0.0,0.0,0.0
18,0.9973988,0.99674255,0.45265597,0.9978051,1.0030932
19,0.99737555,0.99675095,0.40116343,0.9976859,1.0031998
20,0.99737287,0.99677545,0.35489562,0.9978439,1.003429
21,0.9972224,0.9968285,0.26053187,0.99781096,1.0042022
22,0.9974261,0.9966459,0.41261256,0.9981253,1.0038611
23,0.9970542,0.9967896,0.28106913,0.997873,1.0040427
24,0.99729323,0.99684614,0.2703748,0.99782956,1.0041875
25,0.99724406,0.99684113,0.31338796,0.99797606,1.0045923
26,0.9973319,0.9967608,0.34054193,0.9978349,1.0042069
27,0.9974035,0.99673474,0.3939875,0.9977702,1.0044721
28,0.99728835,0.9969044,0.17965266,0.997928,1.0044922
29,0.9970713,0.99690104,0.1878832,0.9977994,1.0053322
30,0.99740696,0.9970461,0.43610445,0.99769574,1.0042517
31,0.99744153,0.9970093,0.43489465,0.997695,1.004247
32,0.997323,0.9968599,0.25637454,0.99788034,1.0039736
33,0.9974029,0.9970172,0.45985892,0.9977019,1.0036368
34,0.9973413,0.99691886,0.31490946,0.9979373,1.0030212
35,0.0,0.0,0.0,0.0,0.0
36,0.9972871,0.9968947,0.307418,0.99779624,1.0027293
37,0.9973251,0.9970617,0.21591762,0.9978302,1.0027478
38,0.99718904,0.9970141,0.21736662,0.9979136,1.0022566
39,0.9971304,0.99702275,0.20045602,0.9978659,1.002203
40,0.99729496,0.9969734,0.23102221,0.9978467,1.0017437
41,0.9972363,0.99703074,0.23083538,0.99776,1.0011117
42,0.99750227,0.9970491,0.6746362,0.9978795,1.001244
43,0.9973107,0.9969642,0.20810814,0.99768597,1.0007391
44,0.9970946,0.9970128,0.15924527,0.9978675,1.000225
45,0.997333,0.99700576,0.25748816,0.99801856,1.0000632
46,0.99737024,0.9970211,0.27809563,0.9978301,0.99981135
47,0.99744415,0.99706805,0.4621646,0.99775547,0.9995647
48,0.99723816,0.99709374,0.25665984,0.9976056,0.9993981
49,0.99735326,0.997035,0.37268686,0.9977693,0.99903774
50,0.99716294,0.99701524,0.18795829,0.9977843,0.99899924
